Lineage name	Scotland	England	Northern Ireland	Wales	Date range	Global lineage	Total
UK1134	0 (0%)	32 (100.0%)	0 (0%)	0 (0%)	May-20, Aug-06	B.1.1	32 taxa
UK1148	0 (0%)	31 (100.0%)	0 (0%)	0 (0%)	Mar-06, Jul-23	B.1.1	31 taxa
UK348	0 (0%)	30 (100.0%)	0 (0%)	0 (0%)	May-13, Aug-19	B.1	30 taxa
UK298	0 (0%)	30 (100.0%)	0 (0%)	0 (0%)	Jul-13, Aug-05	B.1, B.1.5	30 taxa
UK14	25 (86.21%)	4 (13.79%)	0 (0%)	0 (0%)	Mar-12, Apr-28	B, B.2	29 taxa
UK497	0 (0%)	29 (100.0%)	0 (0%)	0 (0%)	Mar-13, Jun-09	A.2	29 taxa
UK1769	0 (0%)	28 (100.0%)	0 (0%)	0 (0%)	Jun-12, Aug-18	B.1.1	28 taxa
UK1061	0 (0%)	17 (60.71%)	11 (39.29%)	0 (0%)	Jun-02, Aug-20	B.1	28 taxa
UK1487	21 (77.78%)	4 (14.81%)	2 (7.41%)	0 (0%)	Mar-22, Jun-24	B.1, B.1.5	27 taxa
UK2111	0 (0%)	27 (100.0%)	0 (0%)	0 (0%)	Apr-04, Aug-09	B.1.1	27 taxa
UK1479	0 (0%)	26 (100.0%)	0 (0%)	0 (0%)	Jun-09, Aug-17	B.1.1	26 taxa
UK1709	6 (23.08%)	17 (65.38%)	3 (11.54%)	0 (0%)	Aug-07, Aug-26	B.1.1	26 taxa
UK1232	0 (0%)	25 (100.0%)	0 (0%)	0 (0%)	May-18, Jul-03	B.1.1	25 taxa
UK59	3 (12.0%)	22 (88.0%)	0 (0%)	0 (0%)	Mar-14, Apr-17	B.3	25 taxa
UK399	5 (20.0%)	14 (56.0%)	6 (24.0%)	0 (0%)	Aug-10, Aug-26	B.1	25 taxa
UK21	25 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-31, May-07	B.1, B.1.40	25 taxa
UK1279	0 (0%)	25 (100.0%)	0 (0%)	0 (0%)	Apr-19, May-16	B.1.1	25 taxa
UK1865	0 (0%)	25 (100.0%)	0 (0%)	0 (0%)	Mar-28, Aug-17	B.1.1	25 taxa
UK2003	0 (0%)	23 (95.83%)	1 (4.17%)	0 (0%)	Mar-19, Apr-27	B.1.1	24 taxa
UK667	2 (8.33%)	22 (91.67%)	0 (0%)	0 (0%)	Mar-21, Jun-10	B.1, B.1.77	24 taxa
UK899	0 (0%)	23 (95.83%)	1 (4.17%)	0 (0%)	Apr-03, Jun-26	B.1.11, B.1	24 taxa
UK1603	0 (0%)	24 (100.0%)	0 (0%)	0 (0%)	Apr-05, Jul-27	B.1.1	24 taxa
UK462	0 (0%)	24 (100.0%)	0 (0%)	0 (0%)	May-02, Jun-09	B.1	24 taxa
UK491	0 (0%)	23 (100.0%)	0 (0%)	0 (0%)	Mar-23, Apr-26	B.2.4, B.2	23 taxa
UK6	6 (26.09%)	17 (73.91%)	0 (0%)	0 (0%)	Mar-12, Jun-14	B.1.75, B.1	23 taxa
UK12	11 (47.83%)	11 (47.83%)	1 (4.35%)	0 (0%)	Mar-22, Aug-14	B.1.88, B.1	23 taxa
UK1097	0 (0%)	19 (82.61%)	0 (0%)	4 (17.39%)	Jul-06, Aug-26	B.1	23 taxa
UK741	1 (4.35%)	22 (95.65%)	0 (0%)	0 (0%)	Jun-27, Aug-21	B.1.1	23 taxa
UK1663	0 (0%)	22 (100.0%)	0 (0%)	0 (0%)	Mar-26, May-02	B.1.1	22 taxa
UK881	0 (0%)	22 (100.0%)	0 (0%)	0 (0%)	Mar-10, May-16	B.1.1	22 taxa
UK5501	0 (0%)	22 (100.0%)	0 (0%)	0 (0%)	Apr-11, Jun-24	B.1.12, B.1	22 taxa
UK1140	0 (0%)	22 (100.0%)	0 (0%)	0 (0%)	Apr-22, Jun-17	B.1.1	22 taxa
UK619	0 (0%)	22 (100.0%)	0 (0%)	0 (0%)	Mar-02, Apr-23	B.1.1	22 taxa
UK1721	0 (0%)	22 (100.0%)	0 (0%)	0 (0%)	Mar-23, Jul-03	B.1	22 taxa
UK1455	0 (0%)	21 (95.45%)	1 (4.55%)	0 (0%)	Aug-04, Aug-19	B.1.1.1, B.1.1	22 taxa
UK275	0 (0%)	22 (100.0%)	0 (0%)	0 (0%)	Mar-13, Jun-02	B.1.13	22 taxa
UK119	0 (0%)	22 (100.0%)	0 (0%)	0 (0%)	Mar-14, May-12	B.2	22 taxa
UK994	0 (0%)	22 (100.0%)	0 (0%)	0 (0%)	Mar-26, May-18	B.1, B.1.5	22 taxa
UK407	15 (71.43%)	3 (14.29%)	3 (14.29%)	0 (0%)	Aug-11, Aug-30	B.1.79, B.1	21 taxa
UK1213	0 (0%)	21 (100.0%)	0 (0%)	0 (0%)	Jun-08, Jul-27	B.1.1.1	21 taxa
UK1264	0 (0%)	20 (100.0%)	0 (0%)	0 (0%)	Apr-01, Jul-02	B.1.1	20 taxa
UK1619	0 (0%)	20 (100.0%)	0 (0%)	0 (0%)	Jun-10, Jul-24	B.1.1	20 taxa
UK44	16 (80.0%)	3 (15.0%)	1 (5.0%)	0 (0%)	Mar-23, Apr-27	B	20 taxa
UK274	0 (0%)	20 (100.0%)	0 (0%)	0 (0%)	Mar-14, Apr-22	B.3	20 taxa
UK1105	0 (0%)	7 (35.0%)	12 (60.0%)	1 (5.0%)	Jul-03, Aug-20	B.1	20 taxa
UK1029	0 (0%)	20 (100.0%)	0 (0%)	0 (0%)	Jun-12, Aug-09	B.1	20 taxa
UK101	0 (0%)	19 (100.0%)	0 (0%)	0 (0%)	Mar-21, Apr-21	B.1.5	19 taxa
UK1703	0 (0%)	19 (100.0%)	0 (0%)	0 (0%)	Mar-16, May-01	B.1	19 taxa
UK1266	0 (0%)	5 (26.32%)	14 (73.68%)	0 (0%)	Apr-01, Jun-17	B.1.1	19 taxa
UK1233	0 (0%)	19 (100.0%)	0 (0%)	0 (0%)	Mar-23, Aug-26	B.1.1	19 taxa
UK173	0 (0%)	19 (100.0%)	0 (0%)	0 (0%)	Mar-11, Apr-13	B.21, B, B.2	19 taxa
UK55	0 (0%)	19 (100.0%)	0 (0%)	0 (0%)	Mar-16, Apr-12	B.3	19 taxa
UK916	0 (0%)	19 (100.0%)	0 (0%)	0 (0%)	Apr-01, Jul-24	B.1.1	19 taxa
UK709	0 (0%)	18 (100.0%)	0 (0%)	0 (0%)	Mar-29, Jun-20	B.1.1	18 taxa
UK402	0 (0%)	17 (94.44%)	0 (0%)	1 (5.56%)	Mar-01, Jul-15	B.1	18 taxa
UK1388	0 (0%)	18 (100.0%)	0 (0%)	0 (0%)	Jun-08, Jul-06	B.1.1	18 taxa
UK1234	0 (0%)	18 (100.0%)	0 (0%)	0 (0%)	Mar-26, Apr-23	B.1.1	18 taxa
UK108	1 (5.56%)	17 (94.44%)	0 (0%)	0 (0%)	Apr-22, Jul-16	B.1	18 taxa
UK2046	0 (0%)	18 (100.0%)	0 (0%)	0 (0%)	Jun-09, Jul-01	B.1.1	18 taxa
UK1725	0 (0%)	17 (100.0%)	0 (0%)	0 (0%)	Mar-30, Apr-30	B.1.1.1	17 taxa
UK1577	0 (0%)	16 (94.12%)	0 (0%)	1 (5.88%)	Apr-27, Jun-30	B.1.1	17 taxa
UK507	0 (0%)	17 (100.0%)	0 (0%)	0 (0%)	Apr-04, May-12	B.2.6, B.2	17 taxa
UK1908	0 (0%)	17 (100.0%)	0 (0%)	0 (0%)	Mar-26, Jun-08	B.1.1	17 taxa
UK1163	0 (0%)	17 (100.0%)	0 (0%)	0 (0%)	Apr-23, Jul-14	B.1.1	17 taxa
UK1158	1 (6.25%)	15 (93.75%)	0 (0%)	0 (0%)	Mar-12, Apr-28	B.1.1.7, B.1.1	16 taxa
UK1926	0 (0%)	16 (100.0%)	0 (0%)	0 (0%)	Apr-20, Jul-01	B.1.1	16 taxa
UK1375	0 (0%)	16 (100.0%)	0 (0%)	0 (0%)	Jun-08, Jun-25	B.1.1	16 taxa
UK699	0 (0%)	12 (75.0%)	0 (0%)	4 (25.0%)	Mar-16, Jun-30	B.1, B.1.5.9	16 taxa
UK174	0 (0%)	16 (100.0%)	0 (0%)	0 (0%)	Mar-19, Jun-09	B.1, B.1.5	16 taxa
UK23	0 (0%)	16 (100.0%)	0 (0%)	0 (0%)	Mar-18, May-09	B, B.9	16 taxa
UK1317	2 (12.5%)	14 (87.5%)	0 (0%)	0 (0%)	Apr-08, Aug-21	B.1.1	16 taxa
UK2045	0 (0%)	16 (100.0%)	0 (0%)	0 (0%)	Mar-17, May-25	B.1, B.1.5	16 taxa
UK241	2 (12.5%)	14 (87.5%)	0 (0%)	0 (0%)	Mar-22, Apr-16	B.1, B.1.5.3	16 taxa
UK1857	0 (0%)	15 (100.0%)	0 (0%)	0 (0%)	Apr-03, Jul-17	B.1.1.7, B.1.1	15 taxa
UK1861	0 (0%)	14 (93.33%)	1 (6.67%)	0 (0%)	Mar-31, Jul-15	B.1.1	15 taxa
UK187	3 (20.0%)	0 (0%)	12 (80.0%)	0 (0%)	Mar-21, May-25	B.1, B.1.77	15 taxa
UK1981	0 (0%)	15 (100.0%)	0 (0%)	0 (0%)	Apr-11, Apr-30	B.1, B.1.1	15 taxa
UK515	0 (0%)	15 (100.0%)	0 (0%)	0 (0%)	Mar-11, Apr-27	B.1, B.1.5	15 taxa
UK738	0 (0%)	15 (100.0%)	0 (0%)	0 (0%)	Apr-07, Apr-25	B.1.1	15 taxa
UK1968	0 (0%)	15 (100.0%)	0 (0%)	0 (0%)	Apr-19, Jun-29	B.1.1	15 taxa
UK331	0 (0%)	15 (100.0%)	0 (0%)	0 (0%)	Jul-02, Aug-21	B.1, B.1.36	15 taxa
UK1223	0 (0%)	15 (100.0%)	0 (0%)	0 (0%)	Mar-21, May-15	B.1.1.1	15 taxa
UK360	3 (21.43%)	11 (78.57%)	0 (0%)	0 (0%)	Mar-12, Apr-06	B.2.2	14 taxa
UK58	5 (35.71%)	9 (64.29%)	0 (0%)	0 (0%)	Mar-13, Apr-09	B.1	14 taxa
UK780	0 (0%)	14 (100.0%)	0 (0%)	0 (0%)	Jul-05, Aug-20	B.1.3	14 taxa
UK1135	3 (21.43%)	11 (78.57%)	0 (0%)	0 (0%)	Mar-30, Apr-21	B.1.1.10, B.1.1	14 taxa
UK902	0 (0%)	14 (100.0%)	0 (0%)	0 (0%)	Mar-24, Jul-22	B.1.1	14 taxa
UK1528	2 (14.29%)	12 (85.71%)	0 (0%)	0 (0%)	Jul-20, Aug-20	B.1.1	14 taxa
UK1790	1 (7.14%)	13 (92.86%)	0 (0%)	0 (0%)	Jun-11, Aug-21	B.1.1.1, B.1.1	14 taxa
UK630	0 (0%)	14 (100.0%)	0 (0%)	0 (0%)	Jun-10, Jul-03	B.1.1	14 taxa
UK620	0 (0%)	13 (100.0%)	0 (0%)	0 (0%)	Mar-23, May-01	B.1	13 taxa
UK2094	0 (0%)	13 (100.0%)	0 (0%)	0 (0%)	Mar-31, Jun-24	B.1.1	13 taxa
UK1282	0 (0%)	13 (100.0%)	0 (0%)	0 (0%)	Mar-28, Apr-18	B.1.1	13 taxa
UK1942	2 (15.38%)	10 (76.92%)	1 (7.69%)	0 (0%)	Apr-05, Aug-18	B.1.1	13 taxa
UK1344	0 (0%)	13 (100.0%)	0 (0%)	0 (0%)	Apr-05, Jun-23	B.1.1	13 taxa
UK330	11 (84.62%)	2 (15.38%)	0 (0%)	0 (0%)	Mar-27, Jul-02	B.1, B.1.5	13 taxa
UK592	1 (7.69%)	12 (92.31%)	0 (0%)	0 (0%)	Jun-11, Jul-01	B.1	13 taxa
UK132	1 (7.69%)	12 (92.31%)	0 (0%)	0 (0%)	Mar-27, May-13	B.1	13 taxa
UK1300	0 (0%)	12 (100.0%)	0 (0%)	0 (0%)	Jun-09, Jul-02	B.1.1	12 taxa
UK968	0 (0%)	12 (100.0%)	0 (0%)	0 (0%)	Mar-29, Jul-18	B.1.1	12 taxa
UK2906	0 (0%)	12 (100.0%)	0 (0%)	0 (0%)	Mar-12, Jun-30	B.1	12 taxa
UK819	0 (0%)	12 (100.0%)	0 (0%)	0 (0%)	Aug-02, Aug-13	B.1, B.1.113	12 taxa
UK805	0 (0%)	2 (16.67%)	0 (0%)	10 (83.33%)	Apr-28, Jul-16	B.1.1	12 taxa
UK1176	0 (0%)	12 (100.0%)	0 (0%)	0 (0%)	Jul-14, Aug-04	B.1.1	12 taxa
UK231	0 (0%)	12 (100.0%)	0 (0%)	0 (0%)	Jun-02, Jul-02	B.1	12 taxa
UK1838	0 (0%)	12 (100.0%)	0 (0%)	0 (0%)	Apr-03, Jul-23	B.1.1	12 taxa
UK384	1 (8.33%)	11 (91.67%)	0 (0%)	0 (0%)	Feb-28, May-16	B.2.1	12 taxa
UK1964	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-30, Jun-27	B.1.1, B.1.1.14	12 taxa
UK2079	0 (0%)	0 (0%)	12 (100.0%)	0 (0%)	Aug-19, Aug-21	B.1.1.25, B.1.1	12 taxa
UK1301	0 (0%)	12 (100.0%)	0 (0%)	0 (0%)	Apr-06, Jun-18	B.1	12 taxa
UK46	1 (8.33%)	11 (91.67%)	0 (0%)	0 (0%)	Mar-14, Apr-15	B.2.1	12 taxa
UK1230	5 (41.67%)	7 (58.33%)	0 (0%)	0 (0%)	Mar-18, Jun-02	B.1.1	12 taxa
UK71	0 (0%)	12 (100.0%)	0 (0%)	0 (0%)	Mar-20, May-06	B, B.2	12 taxa
UK134	0 (0%)	12 (100.0%)	0 (0%)	0 (0%)	Mar-09, Apr-07	B.1.5	12 taxa
UK595	0 (0%)	11 (100.0%)	0 (0%)	0 (0%)	Mar-22, Apr-15	B.2.9	11 taxa
UK1161	0 (0%)	11 (100.0%)	0 (0%)	0 (0%)	Jul-06, Aug-21	B.1.1	11 taxa
UK1270	0 (0%)	11 (100.0%)	0 (0%)	0 (0%)	Mar-21, Jun-24	B.1.1	11 taxa
UK1178	0 (0%)	11 (100.0%)	0 (0%)	0 (0%)	Apr-03, Apr-25	B.1.1.15, B.1.1	11 taxa
UK160	0 (0%)	11 (100.0%)	0 (0%)	0 (0%)	May-20, Jul-01	B.1	11 taxa
UK1336	0 (0%)	11 (100.0%)	0 (0%)	0 (0%)	Apr-15, Jul-26	B.1, B.1.77	11 taxa
UK967	0 (0%)	11 (100.0%)	0 (0%)	0 (0%)	Jul-14, Aug-20	B.1.1	11 taxa
UK70	0 (0%)	10 (90.91%)	1 (9.09%)	0 (0%)	Mar-12, Apr-22	B.2	11 taxa
UK701	0 (0%)	11 (100.0%)	0 (0%)	0 (0%)	Jun-10, Jun-14	B.1.1	11 taxa
UK1179	0 (0%)	1 (9.09%)	10 (90.91%)	0 (0%)	Mar-29, May-16	B.1.1	11 taxa
UK4493	11 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-27, May-08	B.1	11 taxa
UK1380	0 (0%)	11 (100.0%)	0 (0%)	0 (0%)	Jun-07, Jun-18	B.1.1	11 taxa
UK406	2 (18.18%)	4 (36.36%)	5 (45.45%)	0 (0%)	Aug-10, Aug-21	B.1.79, B.1	11 taxa
UK1411	0 (0%)	11 (100.0%)	0 (0%)	0 (0%)	Jun-13, Jul-15	B.1.1	11 taxa
UK826	0 (0%)	10 (100.0%)	0 (0%)	0 (0%)	Jun-12, Aug-21	B.1, B.1.36	10 taxa
UK527	1 (10.0%)	9 (90.0%)	0 (0%)	0 (0%)	Mar-22, Jun-20	B.1	10 taxa
UK2053	0 (0%)	10 (100.0%)	0 (0%)	0 (0%)	Mar-21, Apr-27	B.1.1	10 taxa
UK100	10 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-22, Apr-07	B.1, B.1.101	10 taxa
