Lineage name	England	Date range	Global lineage	Total
UK788	10 (100.0%)	Feb-28, Mar-05	B.4	10 taxa
UK699	10 (100.0%)	Mar-12, Apr-15	B.1.5.9	10 taxa
UK1230	9 (100.0%)	Mar-24, May-02	B.1.1	9 taxa
UK558	9 (100.0%)	Feb-29, Mar-07	B.2	9 taxa
UK874	8 (100.0%)	Feb-27, Mar-05	B.1.1	8 taxa
UK1488	8 (100.0%)	Mar-30, Apr-20	B.1.5	8 taxa
UK231	8 (100.0%)	Apr-24, May-13	B.1	8 taxa
UK739	8 (100.0%)	Mar-01, Mar-08	B.4	8 taxa
UK1037	8 (100.0%)	Mar-22, May-01	B.1.1	8 taxa
UK597	8 (100.0%)	Apr-08, Jun-03	B.1	8 taxa
UK1278	8 (100.0%)	Apr-03, May-12	B.1.1	8 taxa
UK799	7 (100.0%)	Mar-01, Mar-07	B.1	7 taxa
UK6	7 (100.0%)	Mar-06, Apr-20	B.1.75, B.1	7 taxa
UK22	7 (100.0%)	Mar-02, Mar-18	B	7 taxa
UK1141	7 (100.0%)	Mar-14, Apr-10	B.1.1	7 taxa
UK501	7 (100.0%)	Mar-07, Mar-31	B.1	7 taxa
UK561	7 (100.0%)	Mar-01, Mar-30	B.1	7 taxa
UK1266	7 (100.0%)	Mar-24, May-06	B.1.1	7 taxa
UK1603	6 (100.0%)	Mar-30, Apr-19	B.1.1	6 taxa
UK334	6 (100.0%)	Mar-13, Apr-09	B.3	6 taxa
UK1155	6 (100.0%)	Mar-05, Apr-14	B.1.1	6 taxa
UK797	6 (100.0%)	Mar-25, Apr-08	B.1.11	6 taxa
UK629	6 (100.0%)	Mar-25, Apr-02	B.1	6 taxa
UK654	6 (100.0%)	Feb-27, Mar-08	B.2	6 taxa
UK131	6 (100.0%)	Mar-11, Apr-08	B, B.15	6 taxa
UK134	6 (100.0%)	Mar-04, Apr-13	B.1.5, B.1	6 taxa
UK1215	6 (100.0%)	Mar-27, Apr-28	B.1.1.1, B.1.1	6 taxa
UK1120	6 (100.0%)	Apr-13, Apr-14	B.1.1	6 taxa
UK38	6 (100.0%)	Mar-04, Apr-20	B.2.1	6 taxa
UK743	6 (100.0%)	Feb-24, Jun-14	B.1.102	6 taxa
UK499	6 (100.0%)	Mar-05, Mar-31	B.2.1, B.2.6	6 taxa
UK786	6 (100.0%)	Mar-07, Apr-17	B.1.1	6 taxa
