Lineage name	England	Date range	Total sequences	Global lineage	Time since last sample (days)	Activity score
UK195	8 (100.0%)	Mar-29, Apr-18	8	B.1.1	31	0.0922
UK788	8 (100.0%)	Feb-28, Mar-05	8	B.4	75	0.0114
UK1013	8 (100.0%)	Apr-15, Apr-16	8	B.1.1	33	0.0043
UK242	8 (100.0%)	Mar-30, Apr-20	8	B.1.5	29	0.1034
UK111	8 (100.0%)	Mar-25, May-18	8	B.1.1	1	7.7143
UK689	8 (100.0%)	Mar-05, Mar-28	8	B.2.1, B.2	52	0.0632
UK219	8 (100.0%)	May-02, May-02	8	B.1.1	17	0.0
UK2013	7 (100.0%)	Mar-15, Apr-21	7	B.1	28	0.2202
UK38	7 (100.0%)	Mar-04, Apr-20	7	B.2.1	29	0.2701
UK22	7 (100.0%)	Mar-02, Mar-18	7	B	62	0.043
UK8	7 (100.0%)	Mar-03, Mar-12	7	B	68	0.0221
UK733	7 (100.0%)	Mar-10, Mar-18	7	B.2.1	62	0.0215
UK201	7 (100.0%)	Apr-24, May-13	7	B.1	6	0.5278
UK177	6 (100.0%)	Apr-03, May-12	6	B.1.1	7	1.1143
UK5300	6 (100.0%)	May-04, May-06	6	B.1.1	13	0.0308
UK131	6 (100.0%)	Mar-11, Apr-08	6	B.15	41	0.1366
UK4237	6 (100.0%)	Apr-15, Apr-15	6	B.1.1	34	0.0
UK223	6 (100.0%)	Mar-10, Mar-27	6	B.2.1	53	0.0642
UK799	6 (100.0%)	Mar-01, Mar-07	6	B.1	73	0.0164
UK103	6 (100.0%)	Mar-20, Apr-19	6	B.1.1	30	0.2
UK171	6 (100.0%)	Mar-13, Mar-27	6	B.2.1, B.2	53	0.0528
UK5780	6 (100.0%)	Mar-14, Mar-29	6	B.2.1, B.2	51	0.0588
UK654	6 (100.0%)	Feb-27, Mar-08	6	B.2.5	72	0.0278
UK178	6 (100.0%)	Mar-14, Apr-04	6	B.1.1	45	0.0933
UK335	6 (100.0%)	Mar-25, Mar-31	6	B.2.1	49	0.0245
UK289	6 (100.0%)	Mar-25, Apr-16	6	B.2.1	33	0.1333
UK317	6 (100.0%)	Mar-26, Apr-16	6	B.3	33	0.1273
UK857	6 (100.0%)	Mar-24, Mar-29	6	B.2.1	51	0.0196
