Lineage name	Date range	Total	Global lineage	Time since last sample	Activity score
UK1230	Mar-26, Jun-02	12 taxa	B.1.1	90 days	0.0264
UK522	Mar-23, Apr-24	12 taxa	B.1	129 days	0.0226
UK847	Aug-13, Aug-31	12 taxa	B.1, B.1.36	0 days	active today
UK6	Mar-23, Jul-17	12 taxa	B.1, B.1.75	45 days	0.0176
UK529	Aug-06, Aug-22	12 taxa	B.1	9 days	0.1481
UK800	Aug-11, Aug-30	11 taxa	B.1	1 days	0.9048
UK12	Aug-06, Aug-14	11 taxa	B.1	17 days	0.1668
UK5498	Mar-12, Jul-19	11 taxa	B.2	43 days	0.0187
UK1212	Mar-30, Jul-04	11 taxa	B.1.1	58 days	0.033
UK917	Apr-05, Jul-23	9 taxa	B.1.1	39 days	0.0169
UK924	Aug-19, Aug-31	9 taxa	B.1.113, B.1	0 days	active today
UK2022	Aug-13, Aug-31	9 taxa	B.1.1	0 days	active today
UK1034	Apr-22, May-27	9 taxa	B.1.1.28	96 days	0.0456
UK548	Mar-14, Apr-03	8 taxa	B.2.1	150 days	0.0167
UK345	Mar-20, May-15	8 taxa	B.2.2, B.2	108 days	0.0096
UK605	Apr-01, Apr-10	8 taxa	B.1	143 days	0.0096
UK1289	Mar-30, May-11	7 taxa	B.1.1	112 days	0.0625
UK628	Mar-31, Apr-24	7 taxa	B.1	129 days	0.031
UK306	Mar-30, Apr-20	7 taxa	B.1	133 days	0.0263
UK133	Mar-22, Apr-25	7 taxa	B.1	128 days	0.0266
UK51	Mar-26, Jul-15	7 taxa	B.1.36	47 days	0.016
UK1145	Aug-03, Aug-26	6 taxa	B.1.1	5 days	0.0951
UK315	Mar-14, Aug-02	6 taxa	B.2.2	29 days	0.0237
UK1855	Jul-28, Aug-26	6 taxa	B.1.1	5 days	0.0639
UK508	Mar-30, Apr-30	6 taxa	B.1.5.6	123 days	0.0103
UK399	Aug-12, Aug-31	6 taxa	B.1	0 days	active today
UK1709	Aug-17, Aug-26	6 taxa	B.1.1	5 days	0.152
UK667	Mar-20, Jun-10	6 taxa	B.1.77	82 days	0.0244
UK1126	Mar-23, Aug-17	6 taxa	B.1.1	14 days	0.0559
