Lineage name	England	Wales	Northern Ireland	Scotland	Date range	Total sequences	Global lineage	Time since last sample (days)	Activity score
UK5561	119 (80.41%)	23 (15.54%)	1 (0.68%)	5 (3.38%)	Feb-25, May-24	148	B.2.2, B.2	21	0.0288
UK6	133 (96.38%)	0 (0%)	0 (0%)	5 (3.62%)	Mar-06, May-13	138	B.1	32	0.0155
UK4	124 (97.64%)	0 (0%)	1 (0.79%)	2 (1.57%)	Feb-28, Apr-29	127	B	46	0.0105
UK494	121 (97.58%)	1 (0.81%)	0 (0%)	2 (1.61%)	Mar-19, May-05	124	B.1.p11	40	0.0096
UK63	121 (99.18%)	1 (0.82%)	0 (0%)	0 (0%)	Mar-18, May-10	122	B.1.1	35	0.0125
UK565	102 (91.07%)	5 (4.46%)	1 (0.89%)	4 (3.57%)	Mar-11, May-14	112	B.1.1	31	0.0186
UK66	92 (83.64%)	0 (0%)	1 (0.91%)	17 (15.45%)	Mar-18, May-20	110	B.1.1.8	25	0.0231
UK39	2 (1.83%)	0 (0%)	0 (0%)	107 (98.17%)	Mar-12, May-24	109	A.2	21	0.0322
UK394	21 (20.39%)	79 (76.7%)	1 (0.97%)	2 (1.94%)	Mar-17, May-24	103	B.1.1.10, B.1.1	21	0.0317
UK2200	22 (23.16%)	33 (34.74%)	5 (5.26%)	35 (36.84%)	Feb-28, May-20	95	B.1.5.6, B.1.5	25	0.0349
UK601	21 (22.58%)	0 (0%)	64 (68.82%)	8 (8.6%)	Mar-11, May-04	93	B.10	41	0.0143
UK240	84 (91.3%)	2 (2.17%)	0 (0%)	6 (6.52%)	Feb-25, May-08	92	B, B.3, B.2, B.2.5, B.2.1	37	0.0217
UK28	89 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-13, May-08	89	B.1.1.10	37	0.0172
UK5180	81 (91.01%)	4 (4.49%)	4 (4.49%)	0 (0%)	Mar-07, May-09	89	B.1.1.7	36	0.0199
UK5498	66 (78.57%)	7 (8.33%)	0 (0%)	11 (13.1%)	Mar-06, May-28	84	B, B.2	17	0.0588
UK829	80 (98.77%)	0 (0%)	0 (0%)	1 (1.23%)	Mar-03, Apr-29	81	B.2.5	46	0.0155
UK51	72 (90.0%)	0 (0%)	1 (1.25%)	7 (8.75%)	Mar-21, Jun-07	80	B.1.36	7	0.141
UK339	61 (76.25%)	15 (18.75%)	1 (1.25%)	3 (3.75%)	Feb-23, Apr-16	80	B.3	59	0.0114
UK501	66 (84.62%)	1 (1.28%)	0 (0%)	11 (14.1%)	Mar-02, Jun-02	78	B.1	12	0.0996
UK5322	1 (1.28%)	73 (93.59%)	0 (0%)	4 (5.13%)	Mar-23, May-30	78	B.1.1	15	0.0589
UK2906	68 (91.89%)	2 (2.7%)	0 (0%)	4 (5.41%)	Mar-04, Jun-02	74	B.1	12	0.1027
UK86	18 (24.32%)	56 (75.68%)	0 (0%)	0 (0%)	Mar-05, May-28	74	B.1, B.1.5	17	0.0677
UK495	1 (1.35%)	73 (98.65%)	0 (0%)	0 (0%)	Apr-01, May-30	74	B.1.p11	15	0.0539
UK77	67 (93.06%)	5 (6.94%)	0 (0%)	0 (0%)	Mar-11, May-20	72	B.2	25	0.0394
UK319	71 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-28, Jun-01	71	B.1	13	0.0714
UK85	63 (90.0%)	5 (7.14%)	1 (1.43%)	1 (1.43%)	Mar-09, Apr-27	70	B, B.3	48	0.0148
UK120	52 (78.79%)	0 (0%)	0 (0%)	14 (21.21%)	Feb-03, May-05	66	B, B.14	40	0.0354
UK37	63 (96.92%)	1 (1.54%)	0 (0%)	1 (1.54%)	Mar-17, May-04	65	B.1.30, B.1	41	0.0183
UK607	53 (81.54%)	12 (18.46%)	0 (0%)	0 (0%)	Mar-02, May-18	65	B	27	0.0446
UK31	60 (93.75%)	0 (0%)	0 (0%)	4 (6.25%)	Mar-11, Apr-23	64	B.3	52	0.0131
UK274	60 (95.24%)	2 (3.17%)	0 (0%)	1 (1.59%)	Mar-06, May-21	63	B, B.3	24	0.0511
UK384	60 (95.24%)	1 (1.59%)	0 (0%)	2 (3.17%)	Feb-28, Apr-23	63	B.2.1, B.2	52	0.0171
UK366	63 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-04, Jun-03	63	B.1.1	11	0.088
UK509	62 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-07, May-29	62	B.1.1	16	0.0533
UK198	5 (8.33%)	15 (25.0%)	3 (5.0%)	37 (61.67%)	Mar-17, May-07	60	B.1, B.1.5	38	0.0227
UK13	55 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-13, May-13	55	B.1.1	32	0.0353
UK476	55 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-30, May-06	55	B.1.1	39	0.0176
UK89	42 (77.78%)	12 (22.22%)	0 (0%)	0 (0%)	Mar-21, Jun-05	54	B.1.1.9, B.1.1	9	0.1593
UK371	50 (98.04%)	1 (1.96%)	0 (0%)	0 (0%)	Mar-12, May-09	51	B.1.1	36	0.0322
UK513	50 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-12, Apr-29	50	B.1.p11	46	0.0213
UK448	47 (97.92%)	1 (2.08%)	0 (0%)	0 (0%)	Apr-04, May-26	48	B.1.1	19	0.0582
UK187	4 (8.51%)	29 (61.7%)	7 (14.89%)	7 (14.89%)	Mar-23, Apr-30	47	B.1	45	0.0184
UK275	38 (80.85%)	8 (17.02%)	0 (0%)	1 (2.13%)	Mar-09, Apr-27	47	B.1.13	48	0.0222
UK5523	46 (100.0%)	0 (0%)	0 (0%)	0 (0%)	May-01, Jun-01	46	B.1	13	0.053
UK517	43 (93.48%)	1 (2.17%)	0 (0%)	2 (4.35%)	Mar-02, Apr-30	46	B.1.1	45	0.0291
UK41	30 (69.77%)	13 (30.23%)	0 (0%)	0 (0%)	Feb-29, May-21	43	B.1	24	0.0813
UK105	1 (2.33%)	42 (97.67%)	0 (0%)	0 (0%)	Mar-27, May-26	43	B.1.p11	19	0.0752
UK497	38 (90.48%)	4 (9.52%)	0 (0%)	0 (0%)	Mar-13, Jun-03	42	A.2	11	0.1818
UK3126	41 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-06, May-19	41	B.1.1	26	0.0413
UK64	26 (65.0%)	12 (30.0%)	0 (0%)	2 (5.0%)	Mar-12, May-05	40	B.1.p73, B.1	40	0.0346
UK276	37 (94.87%)	0 (0%)	1 (2.56%)	1 (2.56%)	Mar-10, May-13	39	B.1.1	32	0.0526
UK179	16 (41.03%)	23 (58.97%)	0 (0%)	0 (0%)	Mar-17, May-07	39	B.1.1, B.1.1.p11	38	0.0353
UK131	34 (89.47%)	4 (10.53%)	0 (0%)	0 (0%)	Mar-11, Apr-14	38	B.15	61	0.0151
UK173	38 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-14, May-19	38	B	26	0.0686
UK376	38 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-11, Apr-30	38	B.1.1.9	45	0.03
UK404	37 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-01, Apr-19	37	B.1	56	0.0243
UK12	36 (97.3%)	0 (0%)	1 (2.7%)	0 (0%)	Mar-12, May-07	37	B.1.p11	38	0.0409
UK355	35 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-22, Jun-14	35	B.1.1	0	active today
UK119	27 (77.14%)	7 (20.0%)	0 (0%)	1 (2.86%)	Mar-11, Apr-24	35	B.2.5	51	0.0254
UK79	35 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-24, May-05	35	B.1	40	0.0309
UK304	0 (0%)	0 (0%)	0 (0%)	34 (100.0%)	Apr-16, Jun-02	34	B.1.1.14	12	0.1187
UK18	31 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-11, Apr-14	31	B.1.1.7	61	0.0186
UK1207	30 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, May-12	30	B.1.1	33	0.0522
UK14	2 (6.67%)	0 (0%)	0 (0%)	28 (93.33%)	Mar-12, Apr-27	30	B	48	0.033
UK241	30 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-22, Apr-16	30	B.1.5.3	59	0.0146
UK43	1 (3.45%)	0 (0%)	0 (0%)	28 (96.55%)	Mar-12, Apr-26	29	A.5	49	0.0328
UK100	0 (0%)	0 (0%)	0 (0%)	29 (100.0%)	Mar-30, May-25	29	B.1, B.1.5	20	0.1
UK3692	22 (75.86%)	1 (3.45%)	0 (0%)	6 (20.69%)	Mar-09, May-19	29	B.1.1	26	0.0975
UK44	0 (0%)	0 (0%)	1 (3.45%)	28 (96.55%)	Mar-17, Apr-19	29	B	56	0.021
UK5549	24 (88.89%)	0 (0%)	2 (7.41%)	1 (3.7%)	Mar-04, May-18	27	B.2.2	27	0.1068
UK5649	24 (88.89%)	2 (7.41%)	0 (0%)	1 (3.7%)	Mar-15, May-04	27	B.2.6	41	0.0469
UK567	4 (14.81%)	18 (66.67%)	1 (3.7%)	4 (14.81%)	Mar-20, May-15	27	B.2.2	30	0.0718
UK1721	26 (96.3%)	1 (3.7%)	0 (0%)	0 (0%)	Mar-19, May-08	27	B.1	37	0.052
UK101	26 (96.3%)	0 (0%)	0 (0%)	1 (3.7%)	Mar-21, Apr-25	27	B.1.5	50	0.0269
UK5309	23 (88.46%)	3 (11.54%)	0 (0%)	0 (0%)	Mar-20, May-30	26	B.1.1.10, B.1.1	15	0.1893
UK94	26 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-12, Apr-19	26	B.2.1, B.2	56	0.0271
UK326	24 (96.0%)	0 (0%)	0 (0%)	1 (4.0%)	Mar-22, May-22	25	B.1.1.10	23	0.1105
UK23	25 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-21, May-09	25	B.9	36	0.0567
UK317	11 (44.0%)	12 (48.0%)	0 (0%)	2 (8.0%)	Mar-13, Apr-20	25	B.3	55	0.0288
UK164	24 (96.0%)	1 (4.0%)	0 (0%)	0 (0%)	Apr-08, May-28	25	B.1	17	0.1225
UK462	17 (70.83%)	7 (29.17%)	0 (0%)	0 (0%)	Apr-01, May-18	24	B.1	27	0.0757
UK1667	4 (16.67%)	0 (0%)	0 (0%)	20 (83.33%)	Mar-30, May-14	24	B.1.9, B.1.p9	31	0.0631
UK46	23 (95.83%)	1 (4.17%)	0 (0%)	0 (0%)	Mar-02, May-08	24	B.2.1	37	0.0787
UK491	16 (66.67%)	8 (33.33%)	0 (0%)	0 (0%)	Mar-03, Apr-14	24	B, B.2.1, B.2	61	0.0299
UK21	0 (0%)	0 (0%)	0 (0%)	24 (100.0%)	Mar-18, May-23	24	B.1.40	22	0.1304
UK202	9 (39.13%)	13 (56.52%)	0 (0%)	1 (4.35%)	Mar-10, Jun-04	23	B.1.1	10	0.3909
UK87	0 (0%)	0 (0%)	0 (0%)	23 (100.0%)	Mar-13, Apr-24	23	B.1.70	51	0.0374
UK203	19 (86.36%)	2 (9.09%)	0 (0%)	1 (4.55%)	Mar-22, May-30	22	B.1.1	15	0.219
UK116	8 (38.1%)	13 (61.9%)	0 (0%)	0 (0%)	Mar-24, May-30	21	B.1	15	0.2233
UK2045	21 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-17, May-09	21	B.1	36	0.0736
UK335	16 (76.19%)	1 (4.76%)	0 (0%)	4 (19.05%)	Mar-07, Jun-05	21	B.1.1	9	0.5
UK161	16 (76.19%)	5 (23.81%)	0 (0%)	0 (0%)	Mar-10, May-25	21	B.1.1	20	0.19
UK27	18 (85.71%)	2 (9.52%)	0 (0%)	1 (4.76%)	Mar-05, May-21	21	B.1.1	24	0.1604
UK480	19 (90.48%)	0 (0%)	0 (0%)	2 (9.52%)	Mar-20, May-18	21	B.1.1	27	0.1093
UK174	21 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-19, May-22	21	B.1.5	23	0.1391
UK24	21 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-14, Apr-10	21	B.2.1	65	0.0208
UK75	20 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-17, Apr-26	20	B.1.34, B.1	49	0.043
UK5503	20 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, May-13	20	B.1	32	0.0888
UK233	20 (100.0%)	0 (0%)	0 (0%)	0 (0%)	May-25, Jun-08	20	B.1	6	0.1228
UK47	15 (75.0%)	5 (25.0%)	0 (0%)	0 (0%)	Mar-17, May-18	20	B.1.1	27	0.1209
UK134	15 (78.95%)	0 (0%)	0 (0%)	4 (21.05%)	Mar-04, Apr-07	19	B.1	68	0.0278
UK1703	19 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-02, May-01	19	B.1	44	0.0366
UK146	18 (94.74%)	0 (0%)	0 (0%)	1 (5.26%)	Mar-24, May-07	19	B.1.1	38	0.0643
UK502	0 (0%)	0 (0%)	0 (0%)	18 (100.0%)	Mar-06, Mar-30	18	B.1.69	76	0.0186
UK4493	0 (0%)	0 (0%)	0 (0%)	18 (100.0%)	Apr-23, May-19	18	B.1	26	0.0588
UK425	4 (22.22%)	14 (77.78%)	0 (0%)	0 (0%)	Mar-28, May-15	18	B.1.1	30	0.0941
UK4237	18 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-02, Apr-20	18	B.1.1	55	0.0193
UK125	17 (94.44%)	0 (0%)	0 (0%)	1 (5.56%)	Mar-30, May-29	18	B.1.1	16	0.2206
UK2539	18 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-24, May-14	18	B.1.1.5	31	0.0968
UK5300	16 (94.12%)	0 (0%)	0 (0%)	1 (5.88%)	Apr-17, Jun-07	17	B.1.1	7	0.4554
UK71	16 (94.12%)	1 (5.88%)	0 (0%)	0 (0%)	Mar-08, May-06	17	B	39	0.0946
UK604	12 (70.59%)	2 (11.76%)	0 (0%)	3 (17.65%)	Mar-06, Mar-17	17	B.1.1	89	0.0077
UK706	3 (18.75%)	0 (0%)	13 (81.25%)	0 (0%)	Mar-26, Apr-29	16	B.1.1	46	0.0493
UK268	12 (75.0%)	4 (25.0%)	0 (0%)	0 (0%)	Mar-23, Jun-04	16	B.1.1	10	0.4867
UK5660	16 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-25, May-08	16	B.1.1	37	0.0234
UK3781	16 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-09, May-08	16	B.1.1	37	0.1081
UK527	10 (62.5%)	5 (31.25%)	0 (0%)	1 (6.25%)	Mar-19, Apr-18	16	B.1	57	0.0351
UK553	11 (68.75%)	5 (31.25%)	0 (0%)	0 (0%)	Feb-28, Apr-29	16	B.1	46	0.0884
UK5715	14 (93.33%)	0 (0%)	0 (0%)	1 (6.67%)	Feb-13, Apr-22	15	B.2	53	0.093
UK569	15 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, May-12	15	B.1.1	33	0.1082
UK1177	15 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-22, May-29	15	B.1.1	16	0.1652
UK1006	15 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-02, May-03	15	B.1.1	42	0.0527
UK70	12 (80.0%)	1 (6.67%)	2 (13.33%)	0 (0%)	Mar-06, Apr-18	15	B.2	57	0.0539
UK34	15 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-15, Apr-02	15	B.4	73	0.046
UK38	14 (93.33%)	0 (0%)	0 (0%)	1 (6.67%)	Mar-04, Apr-20	15	B.2.1	55	0.061
UK186	13 (92.86%)	1 (7.14%)	0 (0%)	0 (0%)	Mar-27, May-15	14	B	30	0.1256
UK49	12 (85.71%)	0 (0%)	1 (7.14%)	1 (7.14%)	Mar-12, May-01	14	B.9	44	0.0874
UK153	14 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-13, Apr-14	14	B.2	61	0.0404
UK408	12 (92.31%)	1 (7.69%)	0 (0%)	0 (0%)	Apr-13, Jun-08	13	B.1.1	6	0.7778
UK58	6 (46.15%)	0 (0%)	0 (0%)	7 (53.85%)	Mar-12, Apr-09	13	B.1	66	0.0354
UK137	1 (7.69%)	0 (0%)	1 (7.69%)	11 (84.62%)	Mar-09, Mar-31	13	B.1.1	75	0.0244
UK832	12 (92.31%)	0 (0%)	0 (0%)	1 (7.69%)	Mar-09, Apr-26	13	A.5	49	0.0816
UK378	13 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-15, Mar-05	13	B.1.1	101	0.0157
UK436	0 (0%)	1 (8.33%)	0 (0%)	11 (91.67%)	Mar-30, May-14	12	B.1.5	31	0.132
UK141	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-22, Apr-24	12	B.1.1	51	0.0588
UK261	0 (0%)	0 (0%)	0 (0%)	12 (100.0%)	Mar-15, Apr-08	12	A.3	67	0.0326
UK178	11 (91.67%)	0 (0%)	1 (8.33%)	0 (0%)	Mar-14, Apr-29	12	B.1.1	46	0.0909
UK5663	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-11, May-02	12	B.2	43	0.0444
UK193	11 (91.67%)	1 (8.33%)	0 (0%)	0 (0%)	Mar-30, May-01	12	B.1.1	44	0.0661
UK759	11 (91.67%)	1 (8.33%)	0 (0%)	0 (0%)	Mar-28, Apr-27	12	B.1.1	48	0.0568
UK132	11 (91.67%)	0 (0%)	0 (0%)	1 (8.33%)	Mar-27, Apr-30	12	B.1	45	0.0687
UK83	9 (75.0%)	1 (8.33%)	0 (0%)	2 (16.67%)	Feb-29, Apr-08	12	B.1.1	67	0.0529
UK507	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-18, Apr-30	12	B.1.1.10	45	0.0869
UK287	11 (91.67%)	1 (8.33%)	0 (0%)	0 (0%)	Mar-28, Apr-24	12	B.1	51	0.0481
UK5446	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	May-05, May-16	12	B.1.1	29	0.0345
UK445	11 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-14, Apr-27	11	B.1.1	48	0.0917
UK5084	9 (81.82%)	2 (18.18%)	0 (0%)	0 (0%)	Mar-29, Apr-16	11	B.1	59	0.0305
UK415	11 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-19, May-06	11	B.1	39	0.0436
UK566	11 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-02, Apr-21	11	B.1.1.10, B.1.1	54	0.0352
UK5307	9 (81.82%)	2 (18.18%)	0 (0%)	0 (0%)	Mar-08, May-12	11	B.1.1	33	0.197
UK572	11 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-16, Apr-11	11	B.2	64	0.0406
UK523	11 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-14, May-14	11	B.1.1	31	0.0968
UK266	11 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-06, Apr-30	11	B.1	45	0.0533
UK801	0 (0%)	10 (100.0%)	0 (0%)	0 (0%)	Apr-05, May-05	10	B.1	40	0.0833
UK291	10 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, May-14	10	B.1.5	31	0.1649
UK22	10 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-02, Apr-21	10	B	54	0.1029
UK788	10 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-28, Mar-05	10	B.4	101	0.0066
UK320	6 (60.0%)	0 (0%)	4 (40.0%)	0 (0%)	Mar-22, Jun-02	10	B.1	12	0.6667
UK5653	9 (90.0%)	0 (0%)	0 (0%)	1 (10.0%)	Mar-10, Apr-01	10	B.2.6	74	0.033
UK242	10 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-26, Apr-20	10	B.1.5	55	0.0505
UK113	10 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-22, Jun-02	10	B.1.1	12	0.6667
UK206	0 (0%)	9 (100.0%)	0 (0%)	0 (0%)	Apr-02, May-20	9	B.1	25	0.24
UK3509	4 (44.44%)	3 (33.33%)	0 (0%)	2 (22.22%)	Mar-12, Apr-24	9	B.1.1.10	51	0.1054
UK506	2 (22.22%)	7 (77.78%)	0 (0%)	0 (0%)	Apr-02, Apr-20	9	B.1.1	55	0.0409
UK696	0 (0%)	9 (100.0%)	0 (0%)	0 (0%)	Apr-10, May-01	9	B.1, B.1.5	44	0.0597
UK340	9 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, May-17	9	B.1.1	28	0.2455
UK454	9 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-22, Apr-29	9	B.1.1	46	0.1033
UK133	2 (22.22%)	0 (0%)	0 (0%)	7 (77.78%)	Mar-22, Apr-25	9	B.1	50	0.085
UK59	9 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-24, Apr-21	9	B.1	54	0.0648
UK5348	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-14, Apr-24	8	B.1.1	51	0.1148
UK570	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-24, Apr-29	8	B.1.1	46	0.1118
UK244	7 (87.5%)	1 (12.5%)	0 (0%)	0 (0%)	Mar-12, Apr-06	8	B.1.1	69	0.0518
UK739	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-01, Mar-08	8	B.4	98	0.0102
UK594	0 (0%)	0 (0%)	0 (0%)	8 (100.0%)	Apr-20, May-01	8	B	44	0.0357
UK55	4 (50.0%)	0 (0%)	0 (0%)	4 (50.0%)	Mar-23, May-06	8	B.1.1	39	0.1612
UK756	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-27, Mar-05	8	B.1.1	101	0.0099
UK271	1 (12.5%)	0 (0%)	0 (0%)	7 (87.5%)	Apr-02, Apr-26	8	B.1	49	0.07
UK548	0 (0%)	0 (0%)	0 (0%)	8 (100.0%)	Mar-14, Mar-30	8	B.2.1	76	0.0301
UK342	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-02, Apr-23	8	B.1.1	52	0.0577
UK5308	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-29, May-01	8	B.1.1	44	0.0065
UK584	7 (87.5%)	0 (0%)	0 (0%)	1 (12.5%)	Mar-17, May-08	8	B.2.1, B.2	37	0.2008
UK479	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-01, Apr-27	8	B.1.1	48	0.0774
UK284	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-02, Apr-25	8	B.1.1	50	0.0657
UK243	5 (62.5%)	0 (0%)	0 (0%)	3 (37.5%)	Mar-18, Apr-15	8	B.1.p11, B.1, B.1.5	60	0.0667
UK633	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Apr-03, Apr-28	8	B.1.1.p16, B.1.1.16	47	0.076
UK65	7 (87.5%)	0 (0%)	0 (0%)	1 (12.5%)	Mar-07, Apr-21	8	B.1.1	54	0.119
UK2888	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-09, May-14	8	B.1.1	31	0.1613
UK755	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-06, May-21	7	B.1.1	24	0.5278
UK490	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-03, May-02	7	B.1.1	43	0.1124
UK122	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, May-07	7	B.1	38	0.1974
UK232	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-04, Mar-30	7	B.1.1	76	0.057
UK151	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Mar-23, Apr-24	7	B.1	51	0.1046
UK171	2 (28.57%)	0 (0%)	0 (0%)	5 (71.43%)	Mar-31, Apr-21	7	B.1	54	0.0648
UK3045	1 (14.29%)	6 (85.71%)	0 (0%)	0 (0%)	Apr-15, May-27	7	B.1.1, B.1.1.p11	18	0.3889
UK581	1 (14.29%)	0 (0%)	6 (85.71%)	0 (0%)	Apr-06, May-01	7	B.1.1	44	0.0947
