Lineage name	Wales	Date range	Total sequences	Global lineage	Time since last sample (days)	Activity score
UK36	10 (100.0%)	Apr-04, May-13	10	B.1	4	1.0833
UK303	10 (100.0%)	Mar-25, Apr-14	10	B.1.1	33	0.0673
UK750	9 (100.0%)	Apr-07, Apr-15	9	B.1	32	0.0312
UK761	9 (100.0%)	Apr-12, May-10	9	B.1.1	7	0.5
UK156	9 (100.0%)	Mar-28, Apr-30	9	B.1.71	17	0.2426
UK874	8 (100.0%)	Mar-26, Apr-24	8	B.1	23	0.1801
UK801	8 (100.0%)	Apr-05, May-05	8	B.1	12	0.3571
UK367	8 (100.0%)	Mar-25, Apr-27	8	B.1	20	0.2357
UK572	8 (100.0%)	Apr-07, May-01	8	B.1.1	16	0.2143
UK762	8 (100.0%)	Apr-11, May-04	8	B.1.1	13	0.2527
UK696	7 (100.0%)	Apr-10, May-01	7	B.1.5, B.1	16	0.2188
UK5682	7 (100.0%)	Apr-08, May-06	7	B.2, B.1.1	11	0.4242
UK536	7 (100.0%)	Mar-27, Apr-09	7	B.1.1	38	0.057
UK462	7 (100.0%)	Apr-01, Apr-20	7	B.1	27	0.1173
UK439	7 (100.0%)	Apr-02, Apr-20	7	B.1.1	27	0.1111
UK418	7 (100.0%)	Apr-03, Apr-20	7	B.1.1.10	27	0.1049
UK2918	7 (100.0%)	Apr-12, Apr-27	7	B.1	20	0.125
UK119	7 (100.0%)	Mar-30, Apr-14	7	B.2.5	33	0.0758
UK202	7 (100.0%)	Apr-28, May-05	7	B.1.1	12	0.0972
UK2891	6 (100.0%)	Mar-27, May-06	6	B.1.1	11	0.7273
UK269	6 (100.0%)	Mar-31, May-04	6	B.1.1	13	0.5231
UK537	6 (100.0%)	Apr-07, May-17	6	B.1.1	0	active today
UK5332	6 (100.0%)	Mar-01, Apr-20	6	B.1.1	27	0.3704
UK80	6 (100.0%)	Mar-31, Apr-27	6	B.1.1.p15	20	0.27
UK530	6 (100.0%)	Mar-31, Apr-08	6	B.1.1	39	0.041
UK451	6 (100.0%)	Mar-25, Apr-05	6	B.2.1	42	0.0524
UK350	6 (100.0%)	Mar-31, Apr-20	6	B.1.1	27	0.1481
UK5671	6 (100.0%)	Mar-31, May-09	6	B.2, B.1.1	8	0.975
UK358	6 (100.0%)	Mar-31, Apr-09	6	B.2.1	38	0.0474
UK612	6 (100.0%)	Mar-31, Apr-11	6	B.2.1	36	0.0611
UK2735	6 (100.0%)	Mar-30, May-15	6	B.1.1	2	4.6
