Lineage name	England	Scotland	Northern Ireland	Wales	Date range	Global lineage	Total
UK740	146 (87.43%)	20 (11.98%)	1 (0.6%)	0 (0%)	Mar-18, Jun-13	B.1.1	167 taxa
UK1323	147 (90.18%)	0 (0%)	0 (0%)	16 (9.82%)	Mar-19, Aug-19	B.1.1	163 taxa
UK1065	28 (17.5%)	0 (0%)	0 (0%)	132 (82.5%)	Mar-21, Jul-22	B.1.1	160 taxa
UK51	147 (94.84%)	7 (4.52%)	1 (0.65%)	0 (0%)	Mar-21, Jul-15	B.1, B.1.36	155 taxa
UK822	0 (0%)	0 (0%)	0 (0%)	146 (100.0%)	Apr-14, Jun-30	B.1.120, B.1	146 taxa
UK2039	144 (98.63%)	0 (0%)	0 (0%)	2 (1.37%)	Mar-13, Jun-25	B.1.1	146 taxa
UK1157	129 (90.85%)	0 (0%)	5 (3.52%)	8 (5.63%)	Mar-07, Jul-23	B.1.1, B.1.1.7	142 taxa
UK312	70 (49.3%)	63 (44.37%)	6 (4.23%)	3 (2.11%)	Jul-21, Sep-02	B.1	142 taxa
UK1133	2 (1.45%)	0 (0%)	0 (0%)	136 (98.55%)	Apr-08, Jun-15	B.1.1.29, B.1.1	138 taxa
UK501	96 (71.11%)	29 (21.48%)	0 (0%)	10 (7.41%)	Mar-07, Aug-20	B.1, B.1.86	135 taxa
UK678	127 (95.49%)	4 (3.01%)	0 (0%)	2 (1.5%)	Mar-12, Aug-14	B.1.1	133 taxa
UK1119	7 (5.47%)	0 (0%)	0 (0%)	121 (94.53%)	Apr-04, Jul-16	B.1.1	128 taxa
UK191	15 (12.1%)	107 (86.29%)	0 (0%)	2 (1.61%)	Mar-22, Aug-21	B.1.77, B.1, B.1.5	124 taxa
UK31	118 (96.72%)	4 (3.28%)	0 (0%)	0 (0%)	Mar-10, Jul-23	B.2, B, B.3	122 taxa
UK597	84 (68.85%)	1 (0.82%)	2 (1.64%)	35 (28.69%)	Mar-25, Aug-31	B.1.35, B.1, B.1.5, B.1.117	122 taxa
UK601	31 (26.72%)	14 (12.07%)	71 (61.21%)	0 (0%)	Mar-11, May-15	B.10, B	116 taxa
UK847	89 (78.07%)	12 (10.53%)	10 (8.77%)	3 (2.63%)	Mar-23, Aug-31	B.1, B.1.36	114 taxa
UK274	108 (97.3%)	1 (0.9%)	0 (0%)	2 (1.8%)	Mar-06, May-20	B, B.3	111 taxa
UK1487	19 (17.43%)	60 (55.05%)	3 (2.75%)	27 (24.77%)	Mar-17, Jun-24	B.1, B.1.5	109 taxa
UK829	105 (99.06%)	1 (0.94%)	0 (0%)	0 (0%)	Mar-03, Jun-14	B.2, B.2.1	106 taxa
UK992	1 (0.95%)	1 (0.95%)	0 (0%)	103 (98.1%)	Mar-28, Jun-18	B.1, B.1.11	105 taxa
UK607	79 (75.96%)	0 (0%)	0 (0%)	25 (24.04%)	Mar-02, Jun-16	B.2, B	104 taxa
UK59	71 (69.61%)	4 (3.92%)	1 (0.98%)	26 (25.49%)	Feb-23, Apr-28	B.3	102 taxa
UK1155	88 (88.89%)	3 (3.03%)	0 (0%)	8 (8.08%)	Mar-05, Jun-26	B.1.1	99 taxa
UK319	98 (98.99%)	0 (0%)	0 (0%)	1 (1.01%)	Mar-28, Aug-11	B.1, B.1.79	99 taxa
UK491	93 (95.88%)	0 (0%)	0 (0%)	4 (4.12%)	Mar-11, May-20	B.2.1, B.6, B.2.4, B.2, B	97 taxa
UK1215	97 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-16, Jun-10	B.1.1, B.1.1.1	97 taxa
UK1134	94 (98.95%)	1 (1.05%)	0 (0%)	0 (0%)	Apr-01, Aug-06	B.1.1	95 taxa
UK384	87 (94.57%)	2 (2.17%)	0 (0%)	3 (3.26%)	Feb-28, May-16	B.2.1	92 taxa
UK669	74 (81.32%)	15 (16.48%)	0 (0%)	2 (2.2%)	Mar-07, Aug-03	B.1.1	91 taxa
UK902	89 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-11, Jul-22	B.1.1	89 taxa
UK37	86 (97.73%)	1 (1.14%)	0 (0%)	1 (1.14%)	Mar-17, May-05	B.1.30, B.1.5, B.1	88 taxa
UK55	78 (91.76%)	1 (1.18%)	1 (1.18%)	5 (5.88%)	Mar-10, Jun-23	B.3	85 taxa
UK352	78 (92.86%)	3 (3.57%)	0 (0%)	3 (3.57%)	Jul-05, Sep-02	B.1, B.1.36, B.1.113	84 taxa
UK187	6 (7.14%)	29 (34.52%)	15 (17.86%)	34 (40.48%)	Mar-21, Jun-05	B.1.77, B.1	84 taxa
UK805	6 (7.14%)	0 (0%)	0 (0%)	78 (92.86%)	Apr-15, Jul-21	B.1.1	84 taxa
UK1152	22 (26.19%)	58 (69.05%)	4 (4.76%)	0 (0%)	Jul-16, Aug-21	B.1.1	84 taxa
UK1254	0 (0%)	81 (100.0%)	0 (0%)	0 (0%)	Mar-22, May-21	B.1, B.1.89	81 taxa
UK461	50 (63.29%)	3 (3.8%)	15 (18.99%)	11 (13.92%)	Aug-02, Aug-30	B.1	79 taxa
UK120	59 (77.63%)	16 (21.05%)	0 (0%)	1 (1.32%)	Feb-27, Jun-07	B	76 taxa
UK2906	72 (94.74%)	2 (2.63%)	0 (0%)	2 (2.63%)	Mar-04, Jun-30	B.1	76 taxa
UK510	70 (93.33%)	4 (5.33%)	1 (1.33%)	0 (0%)	Jul-18, Aug-31	B.1, B.1.106	75 taxa
UK1051	73 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-30, Jul-25	B.1.1	73 taxa
UK2111	72 (98.63%)	0 (0%)	0 (0%)	1 (1.37%)	Apr-04, Sep-04	B.1.1	73 taxa
UK275	60 (85.71%)	1 (1.43%)	0 (0%)	9 (12.86%)	Mar-09, Jun-02	B.1, B.1.13	70 taxa
UK899	69 (98.57%)	0 (0%)	1 (1.43%)	0 (0%)	Mar-12, Jun-26	B.1, B.1.11, B.1.5	70 taxa
UK709	69 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-25, Jun-29	B.1.1	69 taxa
UK928	64 (92.75%)	0 (0%)	0 (0%)	5 (7.25%)	Mar-10, May-25	B.1.1	69 taxa
UK1297	68 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-09, Jun-11	B.1	68 taxa
UK2067	3 (4.41%)	0 (0%)	0 (0%)	65 (95.59%)	Mar-23, Aug-21	B.1.1	68 taxa
UK1904	68 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-31, Aug-18	B.1.1	68 taxa
UK402	50 (74.63%)	0 (0%)	0 (0%)	17 (25.37%)	Mar-01, Jul-15	B.1	67 taxa
UK86	23 (34.85%)	4 (6.06%)	0 (0%)	39 (59.09%)	Mar-05, May-28	B.1	66 taxa
UK619	62 (95.38%)	2 (3.08%)	0 (0%)	1 (1.54%)	Mar-02, Apr-30	B.1.1	65 taxa
UK100	1 (1.56%)	63 (98.44%)	0 (0%)	0 (0%)	Mar-22, Jun-01	B.1.101, B.1	64 taxa
UK800	48 (75.0%)	11 (17.19%)	5 (7.81%)	0 (0%)	Jul-15, Sep-10	B.1	64 taxa
UK356	5 (7.94%)	0 (0%)	0 (0%)	58 (92.06%)	Mar-12, Jul-13	B.1, B.1.11	63 taxa
UK1964	2 (3.23%)	60 (96.77%)	0 (0%)	0 (0%)	Mar-17, Jun-27	B.1.1, B.1.1.14, B.1.1.7	62 taxa
UK1264	61 (98.39%)	0 (0%)	0 (0%)	1 (1.61%)	Mar-18, Jul-02	B.1.1	62 taxa
UK14	7 (11.48%)	54 (88.52%)	0 (0%)	0 (0%)	Mar-02, May-21	B.2, B	61 taxa
UK1447	59 (98.33%)	0 (0%)	0 (0%)	1 (1.67%)	Mar-30, May-06	B.1.1	60 taxa
UK596	59 (98.33%)	0 (0%)	0 (0%)	1 (1.67%)	Mar-16, Apr-24	B.1, B.1.5, B.1.72, B.1.106	60 taxa
UK1819	60 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-06, Aug-18	B.1.1	60 taxa
UK983	59 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-21, Aug-18	B.1.5.5, B.1	59 taxa
UK1212	47 (79.66%)	11 (18.64%)	1 (1.69%)	0 (0%)	Mar-15, Jul-04	B.1.1	59 taxa
UK718	48 (82.76%)	0 (0%)	0 (0%)	10 (17.24%)	Apr-11, Sep-05	B.1.1	58 taxa
UK44	3 (5.17%)	52 (89.66%)	2 (3.45%)	1 (1.72%)	Mar-17, May-01	B	58 taxa
UK369	53 (92.98%)	2 (3.51%)	0 (0%)	2 (3.51%)	Apr-30, Aug-27	B.1, B.1.113	57 taxa
UK345	19 (33.93%)	8 (14.29%)	1 (1.79%)	28 (50.0%)	Mar-19, May-15	B.2, B.2.2	56 taxa
UK12	44 (78.57%)	11 (19.64%)	1 (1.79%)	0 (0%)	Mar-11, Aug-14	B.1, B.1.11, B.1.84, B.1.88	56 taxa
UK131	50 (90.91%)	0 (0%)	0 (0%)	5 (9.09%)	Mar-11, Sep-07	B, B.15	55 taxa
UK119	45 (83.33%)	1 (1.85%)	0 (0%)	8 (14.81%)	Mar-11, May-12	B.2, B	54 taxa
UK893	39 (73.58%)	0 (0%)	0 (0%)	14 (26.42%)	Mar-12, May-05	B.1, B.1.5	53 taxa
UK21	0 (0%)	53 (100.0%)	0 (0%)	0 (0%)	Mar-18, May-23	B.1, B.1.40	53 taxa
UK528	39 (75.0%)	3 (5.77%)	5 (9.62%)	5 (9.62%)	Jul-22, Aug-31	B.1	52 taxa
UK1140	51 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-04, Jun-17	B.1.1	51 taxa
UK173	51 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-11, May-19	B.2, B, B.21	51 taxa
UK407	3 (6.0%)	42 (84.0%)	3 (6.0%)	2 (4.0%)	Aug-11, Sep-05	B.1, B.1.79	50 taxa
UK497	45 (90.0%)	1 (2.0%)	0 (0%)	4 (8.0%)	Mar-13, Jun-09	A.2	50 taxa
UK1242	38 (76.0%)	0 (0%)	0 (0%)	12 (24.0%)	Mar-11, Jun-17	B.1.1	50 taxa
UK692	0 (0%)	0 (0%)	0 (0%)	49 (100.0%)	Apr-23, Jun-08	B.1.35, B.1, B.1.5	49 taxa
UK1800	47 (95.92%)	0 (0%)	0 (0%)	2 (4.08%)	Apr-09, Aug-17	B.1.1	49 taxa
UK515	49 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-01, Apr-27	B.1, B.1.5	49 taxa
UK348	48 (100.0%)	0 (0%)	0 (0%)	0 (0%)	May-13, Aug-19	B.1	48 taxa
UK701	46 (97.87%)	0 (0%)	0 (0%)	1 (2.13%)	Apr-13, Jun-14	B.1.1	47 taxa
UK360	40 (85.11%)	4 (8.51%)	2 (4.26%)	1 (2.13%)	Mar-04, May-18	B.2, B.2.2, B.2.1	47 taxa
UK1225	43 (95.56%)	2 (4.44%)	0 (0%)	0 (0%)	Apr-28, Aug-23	B.1.1, B.1.1.1	45 taxa
UK357	42 (93.33%)	3 (6.67%)	0 (0%)	0 (0%)	Jun-01, Aug-29	B.1	45 taxa
UK254	37 (82.22%)	3 (6.67%)	0 (0%)	5 (11.11%)	Aug-03, Aug-28	B.1	45 taxa
UK1279	44 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-04, May-16	B.1.1	44 taxa
UK527	35 (79.55%)	2 (4.55%)	0 (0%)	7 (15.91%)	Mar-16, Jun-20	B.1	44 taxa
UK1158	41 (97.62%)	1 (2.38%)	0 (0%)	0 (0%)	Mar-11, May-04	B.1.1, B.1.1.7	42 taxa
UK1437	0 (0%)	42 (100.0%)	0 (0%)	0 (0%)	Apr-08, May-14	B.1	42 taxa
UK667	35 (83.33%)	6 (14.29%)	0 (0%)	1 (2.38%)	Mar-20, Jun-10	B.1.77, B.1	42 taxa
UK1542	42 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-27, Apr-20	B.1.1	42 taxa
UK1850	41 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-02, Aug-07	B.1.1	41 taxa
UK1312	41 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Jul-11, Aug-10	B.1.1	41 taxa
UK1266	23 (56.1%)	1 (2.44%)	17 (41.46%)	0 (0%)	Mar-24, Jun-17	B.1.1	41 taxa
UK1148	40 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-06, Aug-06	B.1.1	40 taxa
UK1603	40 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-30, Jul-27	B.1.1	40 taxa
UK1721	37 (92.5%)	0 (0%)	0 (0%)	3 (7.5%)	Mar-19, Jul-03	B.1, B.1.13	40 taxa
UK79	39 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-24, Jun-06	B.1.97, B.1, B.1.5	39 taxa
UK507	34 (87.18%)	1 (2.56%)	0 (0%)	4 (10.26%)	Mar-15, May-12	B.2.6, B.2, B.2.9	39 taxa
UK46	36 (92.31%)	1 (2.56%)	0 (0%)	2 (5.13%)	Mar-02, May-08	B.2, B.2.1	39 taxa
UK1645	38 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Aug-10, Aug-31	B.1.1.10, B.1.1, B.1.1.2, B.1.1.15	38 taxa
UK1667	7 (18.42%)	31 (81.58%)	0 (0%)	0 (0%)	Mar-31, Jun-02	B.1, B.1.9	38 taxa
UK1644	37 (97.37%)	0 (0%)	0 (0%)	1 (2.63%)	Apr-07, Jul-21	B.1.1	38 taxa
UK4493	0 (0%)	37 (97.37%)	0 (0%)	1 (2.63%)	Apr-01, May-19	B.1	38 taxa
UK1717	38 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-07, Jun-16	B.1.1	38 taxa
UK1097	32 (84.21%)	1 (2.63%)	0 (0%)	5 (13.16%)	Jul-06, Aug-31	B.1, B.1.5	38 taxa
UK1151	19 (51.35%)	18 (48.65%)	0 (0%)	0 (0%)	Aug-05, Aug-25	B.1	37 taxa
UK241	35 (94.59%)	2 (5.41%)	0 (0%)	0 (0%)	Mar-22, Apr-16	B.1, B.1.5.3, B.1.5	37 taxa
UK23	37 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-18, May-09	B.9, B, B.2.1	37 taxa
UK1130	37 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-04, May-17	B.1.1	37 taxa
UK968	37 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-28, Jul-18	B.1.1	37 taxa
UK151	14 (38.89%)	5 (13.89%)	0 (0%)	17 (47.22%)	Mar-09, Apr-20	B.3	36 taxa
UK1913	1 (2.78%)	0 (0%)	0 (0%)	35 (97.22%)	Apr-03, May-14	B.1.1	36 taxa
UK2045	36 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-17, May-25	B.1.1, B.1, B.1.5	36 taxa
UK87	0 (0%)	36 (100.0%)	0 (0%)	0 (0%)	Mar-13, Apr-24	B.1, B.1.70	36 taxa
UK738	36 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-18, Jun-09	B.1.1	36 taxa
UK646	32 (88.89%)	3 (8.33%)	0 (0%)	1 (2.78%)	Mar-12, Jun-16	B.1.1	36 taxa
UK994	35 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-26, May-18	B.1, B.1.5	35 taxa
UK1218	33 (94.29%)	2 (5.71%)	0 (0%)	0 (0%)	May-07, Jul-22	B.1.1, B.1.1.1	35 taxa
UK508	7 (20.59%)	6 (17.65%)	0 (0%)	21 (61.76%)	Mar-19, Apr-30	B.1.35, B.1, B.1.5.6	34 taxa
UK215	34 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-12, Apr-19	B.2.1	34 taxa
UK331	34 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Jul-02, Aug-21	B.1, B.1.36	34 taxa
UK1026	12 (36.36%)	0 (0%)	0 (0%)	21 (63.64%)	Mar-28, May-15	B.1.1	33 taxa
UK1230	20 (60.61%)	12 (36.36%)	0 (0%)	1 (3.03%)	Mar-18, Jun-02	B.1.1	33 taxa
UK43	1 (3.03%)	32 (96.97%)	0 (0%)	0 (0%)	Mar-12, Apr-22	A.5	33 taxa
UK462	26 (78.79%)	0 (0%)	0 (0%)	7 (21.21%)	Apr-01, Jun-09	B.1	33 taxa
UK1270	28 (84.85%)	0 (0%)	0 (0%)	5 (15.15%)	Mar-17, Jun-24	B.1.1	33 taxa
UK1911	31 (93.94%)	1 (3.03%)	0 (0%)	1 (3.03%)	Mar-26, Apr-29	B.1.1	33 taxa
UK1307	33 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-17, Jun-08	B.1.34, B.1, B.1.5	33 taxa
UK1029	29 (87.88%)	2 (6.06%)	0 (0%)	2 (6.06%)	Apr-04, Aug-09	B.1	33 taxa
UK1223	32 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-21, May-15	B.1.1.1	32 taxa
UK439	32 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, May-20	B.1.66, B.1	32 taxa
UK2014	31 (96.88%)	0 (0%)	0 (0%)	1 (3.12%)	Apr-08, Jun-03	B.1.1	32 taxa
UK1769	31 (96.88%)	0 (0%)	0 (0%)	1 (3.12%)	Mar-30, Aug-21	B.1.1, B.1	32 taxa
UK1274	31 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Jun-22, Jul-16	B.1.1	31 taxa
UK5501	31 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-05, Jun-24	B.1.12, B.1	31 taxa
UK1843	29 (93.55%)	0 (0%)	1 (3.23%)	1 (3.23%)	Mar-21, Aug-08	B.1.1	31 taxa
UK49	28 (90.32%)	1 (3.23%)	1 (3.23%)	1 (3.23%)	Mar-12, Aug-06	B.2, B.9, B	31 taxa
UK1061	19 (61.29%)	0 (0%)	11 (35.48%)	1 (3.23%)	Apr-17, Aug-20	B.1	31 taxa
UK1865	29 (93.55%)	0 (0%)	0 (0%)	2 (6.45%)	Mar-28, Aug-17	B.1.1	31 taxa
UK174	31 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-19, Aug-04	B.1, B.1.5	31 taxa
UK108	29 (96.67%)	1 (3.33%)	0 (0%)	0 (0%)	Apr-22, Jul-16	B.1	30 taxa
UK881	29 (96.67%)	0 (0%)	0 (0%)	1 (3.33%)	Mar-10, May-16	B.1.1	30 taxa
UK101	28 (93.33%)	1 (3.33%)	0 (0%)	1 (3.33%)	Mar-21, Apr-25	B.1, B.1.5	30 taxa
UK1282	28 (93.33%)	0 (0%)	0 (0%)	2 (6.67%)	Mar-15, Apr-18	B.1.1	30 taxa
UK2062	30 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-11, Jun-04	B.1.1	30 taxa
UK298	30 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Jul-13, Aug-05	B.1, B.1.5	30 taxa
UK2007	28 (96.55%)	1 (3.45%)	0 (0%)	0 (0%)	Apr-03, Jun-24	B.1.1	29 taxa
UK218	29 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-21, Jun-02	B.1	29 taxa
UK134	24 (82.76%)	5 (17.24%)	0 (0%)	0 (0%)	Mar-04, Apr-13	B.1, B.1.5	29 taxa
UK2028	28 (96.55%)	0 (0%)	0 (0%)	1 (3.45%)	Mar-21, May-04	B.1.1	29 taxa
UK712	29 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-08, Jun-21	B.1.5	29 taxa
UK399	14 (50.0%)	6 (21.43%)	6 (21.43%)	2 (7.14%)	Aug-10, Sep-01	B.1	28 taxa
UK1663	27 (96.43%)	0 (0%)	0 (0%)	1 (3.57%)	Mar-17, May-02	B.1.1	28 taxa
UK2003	26 (92.86%)	1 (3.57%)	1 (3.57%)	0 (0%)	Mar-19, Apr-27	B.1.1	28 taxa
UK1332	9 (32.14%)	18 (64.29%)	0 (0%)	1 (3.57%)	Mar-24, May-19	B.1, B.1.5	28 taxa
