Lineage name	Northern Ireland	England	Scotland	Wales	Date range	Total sequences	Global lineage	Time since last sample (days)
UK7121	0 (0%)	32 (100.0%)	0 (0%)	0 (0%)	Apr-10, May-06	32	B.1	4
UK3737	0 (0%)	31 (100.0%)	0 (0%)	0 (0%)	Mar-29, Apr-28	31	B.1	12
UK44	0 (0%)	31 (100.0%)	0 (0%)	0 (0%)	Mar-19, May-01	31	B.2	9
UK3552	0 (0%)	29 (96.67%)	0 (0%)	1 (3.33%)	Mar-11, Apr-17	30	B.1	23
UK369	0 (0%)	30 (100.0%)	0 (0%)	0 (0%)	Mar-29, Apr-29	30	B.1	11
UK111	0 (0%)	29 (100.0%)	0 (0%)	0 (0%)	Mar-16, Apr-05	29	B.1	35
UK72	0 (0%)	29 (100.0%)	0 (0%)	0 (0%)	Mar-21, May-08	29	B.1	2
UK162	0 (0%)	28 (100.0%)	0 (0%)	0 (0%)	Feb-25, Apr-01	28	B.2.1	39
UK8	0 (0%)	28 (100.0%)	0 (0%)	0 (0%)	Mar-05, Apr-07	28	B.2.1	33
UK3701	0 (0%)	28 (100.0%)	0 (0%)	0 (0%)	Mar-20, May-05	28	B.1	5
UK112	0 (0%)	28 (100.0%)	0 (0%)	0 (0%)	Mar-12, May-01	28	B	9
UK350	0 (0%)	27 (100.0%)	0 (0%)	0 (0%)	Mar-24, May-02	27	B.1	8
UK53	0 (0%)	25 (96.15%)	1 (3.85%)	0 (0%)	Mar-10, Apr-17	26	B.2.1	23
UK3747	0 (0%)	16 (64.0%)	0 (0%)	9 (36.0%)	Apr-01, Apr-30	25	B.1	10
UK3854	0 (0%)	14 (56.0%)	1 (4.0%)	10 (40.0%)	Mar-01, Apr-20	25	B.1	20
UK96	0 (0%)	24 (96.0%)	1 (4.0%)	0 (0%)	Mar-19, Apr-27	25	B.1	13
UK173	0 (0%)	24 (100.0%)	0 (0%)	0 (0%)	Mar-28, Apr-19	24	B.1	21
UK3572	0 (0%)	0 (0%)	0 (0%)	24 (100.0%)	Mar-30, Apr-20	24	B.1	20
UK2900	0 (0%)	0 (0%)	22 (95.65%)	1 (4.35%)	Mar-22, Apr-29	23	B.1	11
UK1970	0 (0%)	0 (0%)	23 (100.0%)	0 (0%)	Apr-08, Apr-30	23	B.1.5	10
UK3740	0 (0%)	23 (100.0%)	0 (0%)	0 (0%)	Mar-25, Apr-17	23	B.1	23
UK123	0 (0%)	17 (73.91%)	1 (4.35%)	5 (21.74%)	Mar-17, Apr-19	23	B.1	21
UK6547	0 (0%)	21 (95.45%)	1 (4.55%)	0 (0%)	Mar-23, Apr-30	22	B.1	10
UK63	0 (0%)	0 (0%)	14 (63.64%)	8 (36.36%)	Mar-18, Apr-18	22	B.1	22
UK34	0 (0%)	22 (100.0%)	0 (0%)	0 (0%)	Mar-14, Apr-02	22	B.2.1	38
UK60	0 (0%)	0 (0%)	22 (100.0%)	0 (0%)	Mar-18, May-08	22	B.1	2
UK49	0 (0%)	22 (100.0%)	0 (0%)	0 (0%)	Mar-17, Apr-26	22	B.1	14
UK129	0 (0%)	22 (100.0%)	0 (0%)	0 (0%)	Mar-16, Apr-21	22	B.1	19
UK140	0 (0%)	21 (100.0%)	0 (0%)	0 (0%)	Mar-23, Apr-15	21	B.1	25
UK66	0 (0%)	2 (9.52%)	19 (90.48%)	0 (0%)	Mar-12, Apr-27	21	B	13
UK50	0 (0%)	20 (95.24%)	0 (0%)	1 (4.76%)	Mar-13, Apr-05	21	B.2.1	35
UK131	0 (0%)	21 (100.0%)	0 (0%)	0 (0%)	Mar-21, Apr-16	21	B.1	24
UK3906	0 (0%)	20 (95.24%)	1 (4.76%)	0 (0%)	Mar-23, Apr-26	21	B.1	14
UK197	0 (0%)	0 (0%)	0 (0%)	20 (100.0%)	Apr-01, Apr-20	20	B.1	20
UK153	0 (0%)	17 (85.0%)	2 (10.0%)	1 (5.0%)	Mar-21, Apr-26	20	B.1.5	14
UK165	0 (0%)	20 (100.0%)	0 (0%)	0 (0%)	Feb-27, Mar-08	20	B.1.7	63
UK89	0 (0%)	0 (0%)	19 (100.0%)	0 (0%)	Mar-13, Apr-20	19	B.1	20
UK3193	0 (0%)	19 (100.0%)	0 (0%)	0 (0%)	Mar-20, Apr-26	19	B.1	14
UK6668	0 (0%)	19 (100.0%)	0 (0%)	0 (0%)	Mar-30, Apr-13	19	B.1	27
UK2810	0 (0%)	19 (100.0%)	0 (0%)	0 (0%)	Apr-12, May-06	19	B.1	4
UK4137	0 (0%)	0 (0%)	0 (0%)	19 (100.0%)	Apr-02, Apr-16	19	B.1	24
UK632	0 (0%)	11 (57.89%)	0 (0%)	8 (42.11%)	Mar-27, Apr-21	19	B.1	19
UK2576	0 (0%)	1 (5.56%)	17 (94.44%)	0 (0%)	Apr-06, Apr-30	18	B.1.11	10
UK187	0 (0%)	18 (100.0%)	0 (0%)	0 (0%)	Feb-28, Apr-04	18	B.2.1, B.2	36
UK184	0 (0%)	7 (38.89%)	0 (0%)	11 (61.11%)	Mar-30, Apr-23	18	B.1	17
UK1312	0 (0%)	18 (100.0%)	0 (0%)	0 (0%)	Mar-20, May-02	18	B.1	8
UK5303	1 (5.56%)	4 (22.22%)	2 (11.11%)	11 (61.11%)	Mar-20, Apr-20	18	B.2.2	20
UK114	0 (0%)	18 (100.0%)	0 (0%)	0 (0%)	Mar-14, Apr-16	18	B.2.1	24
UK3778	0 (0%)	1 (5.56%)	17 (94.44%)	0 (0%)	Mar-25, May-03	18	B.1	7
UK31	0 (0%)	15 (83.33%)	1 (5.56%)	2 (11.11%)	Mar-21, Apr-13	18	B.3	27
UK46	0 (0%)	18 (100.0%)	0 (0%)	0 (0%)	Apr-04, Apr-17	18	B.1	23
UK1292	0 (0%)	18 (100.0%)	0 (0%)	0 (0%)	Mar-23, Apr-10	18	B.1	30
UK715	0 (0%)	17 (100.0%)	0 (0%)	0 (0%)	Mar-19, Apr-18	17	B.1.5	22
UK3761	0 (0%)	17 (100.0%)	0 (0%)	0 (0%)	Apr-03, May-08	17	B.1	2
UK1458	0 (0%)	0 (0%)	0 (0%)	17 (100.0%)	Mar-27, Apr-18	17	B.1	22
UK109	0 (0%)	5 (29.41%)	4 (23.53%)	8 (47.06%)	Mar-09, Apr-16	17	B.1, B.1.7	24
UK179	0 (0%)	0 (0%)	12 (70.59%)	5 (29.41%)	Mar-24, Apr-27	17	B.1, B.1.10	13
UK976	0 (0%)	17 (100.0%)	0 (0%)	0 (0%)	Mar-24, Apr-18	17	B.1	22
UK3760	0 (0%)	16 (100.0%)	0 (0%)	0 (0%)	Apr-04, May-06	16	B.1	4
UK21	0 (0%)	16 (100.0%)	0 (0%)	0 (0%)	Mar-13, Apr-14	16	B.2	26
UK67	0 (0%)	16 (100.0%)	0 (0%)	0 (0%)	Mar-23, Apr-06	16	B.1	34
UK3707	0 (0%)	16 (100.0%)	0 (0%)	0 (0%)	Apr-08, May-04	16	B.1	6
UK93	0 (0%)	0 (0%)	16 (100.0%)	0 (0%)	Mar-21, Apr-22	16	B.1	18
UK12	0 (0%)	0 (0%)	16 (100.0%)	0 (0%)	Mar-06, Mar-20	16	B.1	51
UK205	0 (0%)	11 (68.75%)	4 (25.0%)	1 (6.25%)	Mar-27, Apr-27	16	B.1	13
UK22	0 (0%)	16 (100.0%)	0 (0%)	0 (0%)	Mar-30, May-07	16	B.1	3
UK3888	0 (0%)	15 (100.0%)	0 (0%)	0 (0%)	Mar-30, Apr-16	15	B.1	24
UK1065	0 (0%)	14 (93.33%)	1 (6.67%)	0 (0%)	Feb-13, Apr-22	15	B.2	18
UK3731	0 (0%)	15 (100.0%)	0 (0%)	0 (0%)	Mar-28, Apr-25	15	B.1	15
UK2270	0 (0%)	15 (100.0%)	0 (0%)	0 (0%)	Mar-24, Apr-28	15	B.1	12
UK3914	0 (0%)	0 (0%)	15 (100.0%)	0 (0%)	Apr-16, May-08	15	B.1	2
UK1231	0 (0%)	15 (100.0%)	0 (0%)	0 (0%)	Mar-20, Apr-14	15	B.1	26
UK3886	0 (0%)	15 (100.0%)	0 (0%)	0 (0%)	Apr-05, Apr-09	15	B.1	31
UK3860	0 (0%)	0 (0%)	0 (0%)	14 (100.0%)	Apr-05, Apr-20	14	B.1	20
UK3298	0 (0%)	14 (100.0%)	0 (0%)	0 (0%)	Apr-04, Apr-24	14	B.1	16
UK8061	0 (0%)	14 (100.0%)	0 (0%)	0 (0%)	Apr-08, Apr-27	14	B.1	13
UK110	0 (0%)	0 (0%)	0 (0%)	14 (100.0%)	Mar-25, Apr-12	14	B.1	28
UK146	0 (0%)	0 (0%)	0 (0%)	14 (100.0%)	Mar-18, Apr-16	14	B.2.2	24
UK2062	0 (0%)	0 (0%)	14 (100.0%)	0 (0%)	Apr-18, May-03	14	B.1.5	7
UK3831	0 (0%)	14 (100.0%)	0 (0%)	0 (0%)	Mar-28, Apr-15	14	B.1	25
UK4088	0 (0%)	14 (100.0%)	0 (0%)	0 (0%)	Mar-30, Apr-14	14	B.1	26
UK2571	0 (0%)	14 (100.0%)	0 (0%)	0 (0%)	Apr-01, May-05	14	B.1.11	5
UK1124	0 (0%)	12 (92.31%)	0 (0%)	1 (7.69%)	Mar-31, Apr-25	13	B.1	15
UK1258	0 (0%)	4 (30.77%)	0 (0%)	9 (69.23%)	Mar-28, Apr-30	13	B.1	10
UK668	0 (0%)	13 (100.0%)	0 (0%)	0 (0%)	Mar-27, Apr-23	13	B.1	17
UK4002	0 (0%)	13 (100.0%)	0 (0%)	0 (0%)	Mar-29, May-03	13	B.1	7
UK42	0 (0%)	12 (92.31%)	1 (7.69%)	0 (0%)	Feb-26, Apr-17	13	B.1	23
UK37	0 (0%)	13 (100.0%)	0 (0%)	0 (0%)	Mar-29, Apr-16	13	B.1, B.1.7	24
UK4352	0 (0%)	13 (100.0%)	0 (0%)	0 (0%)	Mar-09, Apr-27	13	B.1	13
UK3728	0 (0%)	13 (100.0%)	0 (0%)	0 (0%)	Mar-19, Apr-14	13	B.1	26
UK1433	0 (0%)	13 (100.0%)	0 (0%)	0 (0%)	Feb-15, Apr-02	13	B.4	38
UK104	0 (0%)	4 (30.77%)	0 (0%)	9 (69.23%)	Mar-23, Apr-14	13	B.1	26
UK4091	0 (0%)	12 (100.0%)	0 (0%)	0 (0%)	Mar-31, Apr-22	12	B.1	18
UK2878	0 (0%)	0 (0%)	0 (0%)	12 (100.0%)	Mar-30, Apr-16	12	B.1	24
UK3568	0 (0%)	0 (0%)	0 (0%)	12 (100.0%)	Apr-07, Apr-20	12	B.1	20
UK38	0 (0%)	12 (100.0%)	0 (0%)	0 (0%)	Mar-13, Apr-02	12	B.1	38
UK3754	0 (0%)	11 (91.67%)	0 (0%)	1 (8.33%)	Mar-27, Apr-22	12	B.1	18
UK3921	0 (0%)	12 (100.0%)	0 (0%)	0 (0%)	Mar-29, Apr-27	12	B.1	13
UK2899	0 (0%)	12 (100.0%)	0 (0%)	0 (0%)	Apr-06, Apr-30	12	B.1	10
UK3767	0 (0%)	12 (100.0%)	0 (0%)	0 (0%)	Apr-01, Apr-20	12	B.1	20
UK1184	0 (0%)	12 (100.0%)	0 (0%)	0 (0%)	Mar-15, May-03	12	B.1	7
UK3471	0 (0%)	0 (0%)	0 (0%)	12 (100.0%)	Mar-29, Apr-09	12	B.1	31
UK2867	0 (0%)	0 (0%)	0 (0%)	12 (100.0%)	Apr-05, Apr-20	12	B.1	20
UK77	0 (0%)	12 (100.0%)	0 (0%)	0 (0%)	Mar-22, Apr-17	12	B.1	23
UK291	0 (0%)	0 (0%)	0 (0%)	12 (100.0%)	Mar-30, Apr-20	12	B.1	20
UK566	0 (0%)	0 (0%)	12 (100.0%)	0 (0%)	Apr-01, May-02	12	B.1	8
UK3710	0 (0%)	12 (100.0%)	0 (0%)	0 (0%)	Mar-22, Apr-16	12	B.1	24
UK939	7 (58.33%)	1 (8.33%)	3 (25.0%)	1 (8.33%)	Mar-11, Apr-02	12	B	38
UK1849	0 (0%)	12 (100.0%)	0 (0%)	0 (0%)	Mar-06, Mar-14	12	B	57
UK3716	0 (0%)	9 (81.82%)	2 (18.18%)	0 (0%)	Mar-18, Apr-28	11	B.1	12
UK1686	0 (0%)	11 (100.0%)	0 (0%)	0 (0%)	Mar-23, Apr-12	11	B.3	28
UK3827	1 (9.09%)	10 (90.91%)	0 (0%)	0 (0%)	Mar-18, Apr-11	11	B.1	29
UK94	0 (0%)	11 (100.0%)	0 (0%)	0 (0%)	Mar-16, Apr-11	11	B.2	29
UK118	0 (0%)	8 (72.73%)	2 (18.18%)	1 (9.09%)	Mar-17, Apr-13	11	B.2	27
UK3755	0 (0%)	8 (72.73%)	0 (0%)	3 (27.27%)	Mar-31, Apr-24	11	B.1	16
UK132	0 (0%)	0 (0%)	11 (100.0%)	0 (0%)	Mar-13, Apr-05	11	B.2	35
UK196	0 (0%)	8 (72.73%)	1 (9.09%)	2 (18.18%)	Mar-26, Apr-18	11	B.1	22
UK43	0 (0%)	11 (100.0%)	0 (0%)	0 (0%)	Mar-13, Apr-13	11	B.2.1, B.2	27
UK3765	0 (0%)	11 (100.0%)	0 (0%)	0 (0%)	Apr-03, Apr-28	11	B.1	12
UK3774	0 (0%)	11 (100.0%)	0 (0%)	0 (0%)	Apr-20, Apr-21	11	B.1	19
UK1586	0 (0%)	0 (0%)	11 (100.0%)	0 (0%)	Mar-19, Apr-08	11	A.3	32
UK3197	0 (0%)	0 (0%)	0 (0%)	11 (100.0%)	Mar-30, Apr-13	11	B.1	27
UK1179	0 (0%)	11 (100.0%)	0 (0%)	0 (0%)	Mar-26, Apr-17	11	B.1	23
UK6570	0 (0%)	0 (0%)	0 (0%)	11 (100.0%)	Apr-06, Apr-16	11	B.1	24
UK7810	0 (0%)	11 (100.0%)	0 (0%)	0 (0%)	Mar-18, Apr-30	11	B.1.10	10
UK899	0 (0%)	11 (100.0%)	0 (0%)	0 (0%)	Mar-20, Apr-06	11	B.2.1, B.2	34
UK2840	0 (0%)	11 (100.0%)	0 (0%)	0 (0%)	Mar-27, Apr-13	11	B.1, B.1.7	27
UK7	0 (0%)	11 (100.0%)	0 (0%)	0 (0%)	Mar-07, Apr-03	11	B.8	37
UK5914	0 (0%)	0 (0%)	10 (100.0%)	0 (0%)	Apr-24, May-08	10	B.1.5	2
UK5381	0 (0%)	0 (0%)	10 (100.0%)	0 (0%)	Mar-24, Apr-21	10	B.2	19
UK720	0 (0%)	10 (100.0%)	0 (0%)	0 (0%)	Feb-28, Mar-08	10	B.2.1, B.2	63
UK575	0 (0%)	10 (100.0%)	0 (0%)	0 (0%)	Mar-29, Apr-29	10	B.8	11
UK13	1 (10.0%)	7 (70.0%)	1 (10.0%)	1 (10.0%)	Mar-03, Apr-10	10	B.2	30
UK3708	0 (0%)	10 (100.0%)	0 (0%)	0 (0%)	Apr-06, Apr-23	10	B.1	17
UK730	0 (0%)	10 (100.0%)	0 (0%)	0 (0%)	Mar-26, Apr-20	10	B.1	20
UK4735	0 (0%)	10 (100.0%)	0 (0%)	0 (0%)	Mar-31, Apr-14	10	B.1	26
UK351	0 (0%)	0 (0%)	0 (0%)	10 (100.0%)	Apr-01, Apr-16	10	B.1	24
UK3703	0 (0%)	10 (100.0%)	0 (0%)	0 (0%)	Apr-10, May-03	10	B.1	7
UK5735	0 (0%)	0 (0%)	0 (0%)	10 (100.0%)	Apr-02, Apr-20	10	B.1	20
UK4110	10 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-21, Mar-28	10	B.1	43
UK1687	0 (0%)	10 (100.0%)	0 (0%)	0 (0%)	Mar-06, Apr-06	10	B.3	34
UK690	1 (10.0%)	9 (90.0%)	0 (0%)	0 (0%)	Mar-26, Apr-07	10	B.1	33
UK2025	0 (0%)	0 (0%)	10 (100.0%)	0 (0%)	Apr-05, Apr-22	10	B.1.5	18
UK2038	0 (0%)	0 (0%)	10 (100.0%)	0 (0%)	Apr-13, Apr-29	10	B.1.5	11
UK3736	0 (0%)	9 (100.0%)	0 (0%)	0 (0%)	Apr-09, May-01	9	B.1	9
UK57	0 (0%)	9 (100.0%)	0 (0%)	0 (0%)	Mar-16, Mar-27	9	B.8	44
UK2279	0 (0%)	9 (100.0%)	0 (0%)	0 (0%)	Apr-03, Apr-17	9	B.1	23
UK124	0 (0%)	9 (100.0%)	0 (0%)	0 (0%)	Mar-23, Mar-30	9	B.1	41
UK2161	0 (0%)	9 (100.0%)	0 (0%)	0 (0%)	Mar-27, Apr-06	9	B.1.13	34
UK2240	0 (0%)	9 (100.0%)	0 (0%)	0 (0%)	Mar-23, Apr-12	9	B.1	28
UK25	0 (0%)	7 (77.78%)	1 (11.11%)	1 (11.11%)	Mar-10, Apr-17	9	B.2.2, B.2	23
UK69	0 (0%)	9 (100.0%)	0 (0%)	0 (0%)	Mar-15, Apr-17	9	B.2.1	23
UK4930	0 (0%)	9 (100.0%)	0 (0%)	0 (0%)	Mar-29, Apr-08	9	B.2.1	32
UK5511	0 (0%)	2 (22.22%)	0 (0%)	7 (77.78%)	Mar-23, Apr-14	9	B.2.5	26
UK29	0 (0%)	2 (22.22%)	0 (0%)	7 (77.78%)	Mar-25, Apr-14	9	B.3	26
UK3711	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Apr-10, May-06	8	B.1	4
UK3704	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Apr-13, May-03	8	B.1	7
UK1980	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-29, May-07	8	B.1.5	3
UK208	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-25, Apr-15	8	B.2.1	25
UK560	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-18, Apr-14	8	B.2	26
UK3602	0 (0%)	7 (87.5%)	0 (0%)	1 (12.5%)	Mar-31, Apr-19	8	B.1	21
UK2024	0 (0%)	0 (0%)	6 (75.0%)	2 (25.0%)	Mar-18, Apr-15	8	B.1.5	25
UK3709	0 (0%)	7 (87.5%)	0 (0%)	1 (12.5%)	Mar-31, Apr-22	8	B.1	18
UK5944	0 (0%)	0 (0%)	8 (100.0%)	0 (0%)	Apr-24, May-06	8	B.1.5	4
UK1632	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-01, Mar-08	8	B.4	63
UK7946	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-18, Apr-16	8	B.1	24
UK876	0 (0%)	0 (0%)	0 (0%)	8 (100.0%)	Mar-24, Apr-20	8	B.1.5	20
UK2910	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-23, Apr-27	8	B.1	13
UK1961	0 (0%)	0 (0%)	8 (100.0%)	0 (0%)	Apr-20, May-06	8	B.1.5	4
UK5386	0 (0%)	0 (0%)	0 (0%)	8 (100.0%)	Apr-03, Apr-21	8	B.2	19
UK502	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-24, Apr-09	8	B.3	31
UK6140	0 (0%)	0 (0%)	0 (0%)	8 (100.0%)	Apr-09, Apr-21	8	B.1.7	19
UK3845	0 (0%)	4 (50.0%)	0 (0%)	4 (50.0%)	Mar-11, Apr-19	8	B.1	21
UK6669	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-20, Apr-11	8	B.1	29
UK1112	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-20, Apr-03	8	B.1.13	37
UK3771	0 (0%)	5 (62.5%)	3 (37.5%)	0 (0%)	Mar-30, Apr-22	8	B.1	18
UK3782	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Apr-11, May-02	8	B.1	8
UK1420	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-27, Apr-30	8	B.1	10
UK3810	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-31, Apr-08	8	B.1	32
UK4055	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Apr-04, Apr-29	8	B.1	11
UK3192	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Apr-03, Apr-15	8	B.1	25
UK5302	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Apr-11, Apr-22	8	B.2.2	18
UK3812	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-30, Apr-12	8	B.1	28
UK200	0 (0%)	7 (87.5%)	0 (0%)	1 (12.5%)	Mar-04, Apr-14	8	B.2.1	26
UK3678	0 (0%)	4 (50.0%)	0 (0%)	4 (50.0%)	Mar-23, Apr-06	8	B.1	34
UK613	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-29, Apr-15	8	B.1.7	25
UK4643	0 (0%)	6 (75.0%)	1 (12.5%)	1 (12.5%)	Mar-12, Apr-08	8	B.1	32
UK1252	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-20, Apr-10	8	B	30
UK6254	0 (0%)	0 (0%)	0 (0%)	8 (100.0%)	Apr-07, Apr-14	8	B.1	26
UK629	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-26, Apr-14	8	B.1	26
UK3994	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Apr-15, Apr-16	8	B.1	24
UK33	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-16, Apr-16	8	B.2.1	24
UK78	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-10, Apr-06	8	B.2.1	34
UK3822	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Apr-02, Apr-16	7	B.1	24
UK130	0 (0%)	6 (85.71%)	1 (14.29%)	0 (0%)	Mar-17, Mar-27	7	B.2.1, B.2	44
UK6150	0 (0%)	5 (71.43%)	1 (14.29%)	1 (14.29%)	Mar-12, Apr-12	7	B.1.7	28
UK3299	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Mar-21, Apr-17	7	B.1	23
UK3699	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Apr-15, May-01	7	B.1	9
UK2070	0 (0%)	0 (0%)	7 (100.0%)	0 (0%)	Apr-15, Apr-27	7	B.1.5	13
UK1390	0 (0%)	6 (85.71%)	1 (14.29%)	0 (0%)	Apr-01, Apr-20	7	B.2.1	20
UK2160	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Mar-29, Apr-20	7	B.1.13	20
UK2577	0 (0%)	0 (0%)	7 (100.0%)	0 (0%)	Mar-29, Apr-22	7	B.1.11	18
UK206	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Mar-25, May-05	7	B.1	5
UK4131	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Apr-02, Apr-17	7	B.1	23
UK23	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Mar-11, Apr-08	7	B.2.2	32
