Lineage name	Date range	Total	Global lineage	Time since last sample	Activity score
UK874	Feb-27, Mar-05	9 taxa	B.1.1	189 days	0.0046
UK584	Mar-21, Apr-02	9 taxa	B.2.1	161 days	0.011
UK760	Apr-09, May-28	9 taxa	B.1.1	105 days	0.0583
UK230	Mar-10, Apr-07	9 taxa	B.2.1	156 days	0.0224
UK1369	Mar-18, May-11	9 taxa	B.1.1	122 days	0.0553
UK809	May-25, Jun-29	9 taxa	B.1.36	73 days	0.0599
UK351	Apr-04, May-13	9 taxa	B.1	120 days	0.0406
UK1332	Mar-28, May-19	9 taxa	B.1	114 days	0.0182
UK1200	Mar-18, Jul-18	9 taxa	B.1.1	54 days	0.251
UK2051	Jun-01, Jul-28	9 taxa	B.1.1	44 days	0.1619
UK1974	Mar-23, Aug-16	9 taxa	B.1.1	25 days	0.6489
UK1899	May-05, May-29	9 taxa	B.1.1	104 days	0.0652
UK58	Mar-13, Apr-24	9 taxa	B.1	139 days	0.0119
UK450	Mar-30, Jun-17	9 taxa	B.1	85 days	0.1162
UK1780	Mar-11, Jun-03	9 taxa	B.1.1	99 days	0.1061
UK575	Mar-14, Apr-16	9 taxa	B.2.1	147 days	0.0281
UK1617	Apr-02, Aug-18	9 taxa	B.1.1	23 days	0.75
UK609	Mar-08, Apr-29	9 taxa	B.2	134 days	0.0485
UK1361	Jul-15, Aug-02	9 taxa	B.1.1, B.1.1.15	39 days	0.0577
UK1199	Mar-04, Apr-14	9 taxa	B.1, B.1.5	149 days	0.0344
UK1641	Mar-29, Jun-05	9 taxa	B.1.1	97 days	0.0836
UK366	Apr-04, Apr-24	9 taxa	B.1	139 days	0.018
UK1860	Mar-30, Jun-14	9 taxa	B.1.1	88 days	0.108
UK1946	Apr-17, May-19	8 taxa	B.1.1	114 days	0.0401
