Introduction	England	Scotland	Wales	Northern Ireland	Date range	Total sequences	Global lineage	Time since last sample (days)
UK1	26 (96.3%)	0 (0%)	1 (3.7%)	0 (0%)	Feb-27, Apr-03	27	B.2, B.2.5	16
UK92	0 (0%)	27 (100.0%)	0 (0%)	0 (0%)	Mar-22, Apr-19	27	B.1	0
UK51	0 (0%)	24 (96.0%)	1 (4.0%)	0 (0%)	Mar-17, Apr-19	25	B	0
UK14	21 (87.5%)	1 (4.17%)	2 (8.33%)	0 (0%)	Mar-03, Apr-06	24	B	13
UK836	24 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-11, Apr-10	24	B.1, B.1.10	9
UK44	24 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-19, Apr-18	24	B.2	1
UK137	23 (95.83%)	0 (0%)	1 (4.17%)	0 (0%)	Mar-25, Apr-16	24	B.1	3
UK2	23 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-01, Apr-03	23	B.1.20	16
UK162	22 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-25, Mar-08	22	B.2.1	42
UK2450	22 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, Apr-17	22	B.1	2
UK63	0 (0%)	14 (66.67%)	7 (33.33%)	0 (0%)	Mar-18, Apr-18	21	B.1	1
UK1373	21 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-28, Apr-06	21	B.1	13
UK2465	21 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-31, Apr-15	21	B.1	4
UK8	20 (95.24%)	0 (0%)	1 (4.76%)	0 (0%)	Mar-12, Mar-28	21	B.2.1	22
UK288	20 (95.24%)	0 (0%)	1 (4.76%)	0 (0%)	Mar-04, Apr-12	21	B.1.7	7
UK41	2 (9.52%)	18 (85.71%)	1 (4.76%)	0 (0%)	Mar-12, Apr-08	21	A.2	11
UK3529	21 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, Apr-12	21	B.2.1	7
UK52	17 (80.95%)	0 (0%)	4 (19.05%)	0 (0%)	Mar-16, Apr-08	21	B	11
UK58	7 (33.33%)	5 (23.81%)	0 (0%)	9 (42.86%)	Mar-13, Apr-02	21	B	17
UK20	1 (5.0%)	19 (95.0%)	0 (0%)	0 (0%)	Mar-13, Apr-05	20	B.2	14
UK87	19 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-11, Apr-14	19	B.1	5
UK53	19 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-10, Apr-10	19	B.2.1	9
UK111	18 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-16, Apr-05	18	B.1	14
UK2452	18 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-08, Apr-15	18	B.1	4
UK11	15 (83.33%)	3 (16.67%)	0 (0%)	0 (0%)	Mar-02, Mar-31	18	B.1	19
UK3379	0 (0%)	17 (100.0%)	0 (0%)	0 (0%)	Apr-08, Apr-19	17	B.1.5	0
UK261	15 (88.24%)	1 (5.88%)	1 (5.88%)	0 (0%)	Mar-10, Apr-14	17	B.2.1	5
UK34	17 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-14, Apr-02	17	B.2.1	17
UK159	17 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-18, Apr-14	17	B.1	5
UK114	17 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-14, Apr-16	17	B.2.1	3
UK35	3 (17.65%)	9 (52.94%)	5 (29.41%)	0 (0%)	Mar-15, Apr-12	17	B.1.5	7
UK1292	16 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, Apr-10	16	B.1	9
UK129	16 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-16, Apr-05	16	B.1	14
UK142	15 (93.75%)	1 (6.25%)	0 (0%)	0 (0%)	Mar-26, Apr-16	16	B.1	3
UK93	0 (0%)	15 (100.0%)	0 (0%)	0 (0%)	Mar-21, Apr-19	15	B.1	0
UK2402	15 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, Apr-17	15	B.1	2
UK144	14 (93.33%)	1 (6.67%)	0 (0%)	0 (0%)	Mar-21, Apr-08	15	B.1.5	11
UK165	15 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-24, Mar-06	15	B.1.7	44
UK49	15 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-17, Apr-05	15	B.1	14
UK12	0 (0%)	15 (100.0%)	0 (0%)	0 (0%)	Mar-06, Mar-14	15	B.1	36
UK21	15 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-13, Apr-14	15	B.2	5
UK46	14 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-18, Apr-09	14	B.1	10
UK70	14 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-13, Apr-07	14	B.2.1	12
UK2524	14 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-11, Apr-15	14	B.1	4
UK140	14 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-25, Apr-09	14	B.1	10
UK60	0 (0%)	14 (100.0%)	0 (0%)	0 (0%)	Mar-18, Apr-19	14	B.1.4	0
UK369	14 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, Apr-16	14	B.1	3
UK173	13 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-28, Apr-17	13	B.1	2
UK50	13 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-13, Apr-05	13	B.2.1	14
UK112	13 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-12, Apr-15	13	B	4
UK131	13 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-21, Apr-12	13	B.1	7
UK187	13 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-13, Apr-04	13	B.2.1	15
UK72	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-21, Apr-10	12	B.1	9
UK89	0 (0%)	12 (100.0%)	0 (0%)	0 (0%)	Mar-13, Apr-11	12	B.1	8
UK22	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-13, Apr-08	12	B.1	11
UK205	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-27, Apr-12	12	B.1	7
UK66	1 (8.33%)	11 (91.67%)	0 (0%)	0 (0%)	Mar-12, Apr-01	12	B	18
UK1711	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-06, Mar-14	12	B	36
UK110	0 (0%)	0 (0%)	11 (100.0%)	0 (0%)	Mar-25, Apr-04	11	B.1	15
UK126	11 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-21, Mar-27	11	B.2.1	23
UK196	7 (63.64%)	1 (9.09%)	3 (27.27%)	0 (0%)	Mar-26, Apr-05	11	B.1	14
UK153	11 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-21, Apr-07	11	B.1.5	12
UK123	7 (63.64%)	1 (9.09%)	3 (27.27%)	0 (0%)	Mar-17, Apr-07	11	B.1	12
UK7	10 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-07, Apr-03	10	B, B.8	16
UK100	10 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-15, Apr-03	10	B.2.1	16
UK38	10 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-13, Apr-02	10	B.1	17
UK57	9 (90.0%)	0 (0%)	1 (10.0%)	0 (0%)	Mar-16, Mar-30	10	B.8	20
UK2346	10 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, Apr-14	10	B.1	5
UK105	10 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-11, Apr-15	10	B.1	4
UK2384	10 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-07, Apr-17	10	B.1	2
UK42	10 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-26, Mar-15	10	B.1	35
UK566	0 (0%)	9 (100.0%)	0 (0%)	0 (0%)	Apr-01, Apr-18	9	B.1	1
UK2412	9 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-18, Apr-07	9	B.1	12
UK715	9 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-19, Apr-06	9	B.1.5	13
UK118	6 (66.67%)	2 (22.22%)	1 (11.11%)	0 (0%)	Mar-17, Mar-30	9	B.2	20
UK299	9 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-10, Apr-17	9	B.1	2
UK668	9 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-27, Apr-11	9	B.1	8
UK215	7 (77.78%)	0 (0%)	2 (22.22%)	0 (0%)	Feb-27, Apr-11	9	B.1.7	8
UK899	9 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, Apr-06	9	B.2.1	13
UK2424	9 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-30, Apr-13	9	B.1	6
UK78	9 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-10, Apr-02	9	B.2.1	17
UK1224	8 (88.89%)	1 (11.11%)	0 (0%)	0 (0%)	Mar-19, Apr-08	9	B.1	11
UK2411	9 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-28, Apr-04	9	B.1	15
UK1112	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, Apr-03	8	B.1.13	16
UK3959	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-24, Apr-05	8	B.2	14
UK13	5 (62.5%)	1 (12.5%)	2 (25.0%)	0 (0%)	Mar-03, Apr-07	8	B.2	12
UK1184	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-15, Apr-01	8	B.1	18
UK138	0 (0%)	1 (12.5%)	7 (87.5%)	0 (0%)	Mar-20, Apr-05	8	B.2.1	14
UK720	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-09, Mar-07	8	B.2.1	43
UK117	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, Apr-06	8	B.1	13
UK2040	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, Apr-07	8	B.1	12
UK2036	6 (75.0%)	2 (25.0%)	0 (0%)	0 (0%)	Apr-02, Apr-15	8	B.1	4
UK43	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-13, Mar-29	8	B.2.1	21
UK104	4 (50.0%)	0 (0%)	4 (50.0%)	0 (0%)	Mar-23, Apr-13	8	B.1	6
UK94	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-16, Apr-03	8	B.2	16
UK2341	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-22, Apr-07	8	B.1	12
UK1433	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-15, Mar-06	8	B.4	44
UK132	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-13, Mar-18	8	B.2	32
UK3436	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Apr-13, Apr-19	8	B.1.5	0
UK222	7 (87.5%)	1 (12.5%)	0 (0%)	0 (0%)	Mar-13, Apr-03	8	B.1	16
UK69	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-15, Apr-01	8	B.2.1	18
UK2546	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-15, Mar-05	8	B.1	45
UK77	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-17, Apr-03	8	B.1	16
UK2294	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, Apr-08	8	B.1	11
UK3203	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-27, Apr-05	8	B.1	14
UK158	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-10, Mar-30	8	B.2.1	20
UK586	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-21, Apr-06	8	B.1	13
UK976	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-28, Apr-05	8	B.1	14
UK2394	6 (85.71%)	1 (14.29%)	0 (0%)	0 (0%)	Mar-28, Apr-06	7	B.1	13
UK649	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-04, Mar-30	7	B.1	20
UK613	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, Apr-06	7	B.1.7	13
UK109	4 (57.14%)	2 (28.57%)	1 (14.29%)	0 (0%)	Mar-12, Apr-08	7	B.1, B.1.7	11
UK3	6 (85.71%)	0 (0%)	0 (0%)	1 (14.29%)	Feb-27, Mar-29	7	B.1.7	21
UK303	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, Apr-06	7	B.1	13
UK291	0 (0%)	0 (0%)	7 (100.0%)	0 (0%)	Mar-27, Apr-04	7	B.1	15
UK1416	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-22, Apr-07	7	B.1.13	12
UK1065	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-13, Apr-05	7	B.2	14
UK564	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, Apr-07	7	B.1	12
UK3426	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Apr-05, Apr-17	7	B.1.5	2
UK2442	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-30, Apr-11	7	B.1	8
UK690	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-31, Apr-07	7	B.1	12
UK2198	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Apr-06, Apr-19	7	B.1	0
UK2631	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-07, Apr-08	7	B.1	11
UK25	5 (71.43%)	1 (14.29%)	1 (14.29%)	0 (0%)	Mar-10, Apr-08	7	B.2.2	11
UK3562	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, Apr-07	6	B.2.1	12
UK350	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-31, Apr-06	6	B.1	13
UK120	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, Mar-31	6	B.1, B.1.7	19
UK1055	5 (83.33%)	0 (0%)	1 (16.67%)	0 (0%)	Mar-30, Apr-17	6	B.1	2
UK2052	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-31, Apr-07	6	B.1	12
UK96	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-19, Apr-06	6	B.1	13
UK23	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-11, Mar-29	6	B.2.2	21
UK1106	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-24, Apr-08	6	B.1	11
UK115	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-16, Apr-06	6	B.8	13
UK1109	4 (66.67%)	0 (0%)	2 (33.33%)	0 (0%)	Mar-21, Apr-03	6	B.2.1, B.2	16
UK1231	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, Apr-07	6	B.1	12
UK1623	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-01, Mar-08	6	B.4	42
UK2529	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-07, Apr-13	6	B.1	6
UK689	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-21, Apr-06	6	B.1	13
UK32	5 (83.33%)	1 (16.67%)	0 (0%)	0 (0%)	Mar-05, Apr-03	6	B.2.2	16
UK33	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-16, Apr-05	6	B.2.1	14
UK197	1 (16.67%)	2 (33.33%)	2 (33.33%)	1 (16.67%)	Mar-31, Apr-04	6	B.1	15
UK208	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-25, Mar-31	6	B.2.1	19
UK80	3 (50.0%)	2 (33.33%)	1 (16.67%)	0 (0%)	Mar-20, Apr-01	6	B.1	18
UK2397	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-30, Apr-06	6	B.1	13
UK1494	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-01, Mar-07	6	B.1	43
UK1908	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-03, Apr-06	6	B.1.13	13
UK189	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-30, Apr-04	6	B.1	15
UK2600	1 (16.67%)	5 (83.33%)	0 (0%)	0 (0%)	Mar-25, Apr-06	6	B.1	13
UK2369	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-31, Apr-18	6	B.1	1
UK146	0 (0%)	0 (0%)	6 (100.0%)	0 (0%)	Mar-18, Mar-31	6	B.2.2	19
UK2388	5 (83.33%)	0 (0%)	1 (16.67%)	0 (0%)	Mar-01, Apr-02	6	B.1	17
UK54	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-14, Mar-28	6	B.2.1	22
