Lineage name	Wales	Date range	Global lineage	Total
UK402	16 (100.0%)	Apr-10, Jun-01	B.1	16 taxa
UK600	15 (100.0%)	Mar-17, Apr-13	B.1, B.1.1	15 taxa
UK893	14 (100.0%)	Mar-25, May-05	B.1	14 taxa
UK1684	13 (100.0%)	Apr-08, May-06	B.1.1.1	13 taxa
UK1939	13 (100.0%)	Mar-25, Apr-20	B.1.1	13 taxa
UK1195	13 (100.0%)	Apr-23, Sep-06	B.1.1, B.1.1.25	13 taxa
UK1242	12 (100.0%)	Apr-22, Jun-03	B.1.1	12 taxa
UK718	10 (100.0%)	Apr-11, Sep-05	B.1.1	10 taxa
UK1535	10 (100.0%)	Mar-27, May-22	B.1.1	10 taxa
UK347	9 (100.0%)	Apr-10, May-01	B.1	9 taxa
UK501	9 (100.0%)	Apr-01, May-16	B.1	9 taxa
UK275	9 (100.0%)	Mar-31, Apr-20	B.1, B.1.13	9 taxa
UK461	9 (100.0%)	Aug-16, Aug-30	B.1	9 taxa
UK4	8 (100.0%)	Mar-17, Apr-11	B	8 taxa
UK119	8 (100.0%)	Mar-30, Apr-22	B.2	8 taxa
UK449	8 (100.0%)	Mar-27, Apr-26	B.1.5, B.1.120, B.1	8 taxa
UK5498	8 (100.0%)	Mar-27, Apr-14	B.2	8 taxa
UK1157	8 (100.0%)	Mar-17, Jun-01	B.1.1.7, B.1.1	8 taxa
UK1987	7 (100.0%)	Mar-20, May-01	B.1.1	7 taxa
UK462	7 (100.0%)	Apr-01, Apr-20	B.1	7 taxa
UK139	7 (100.0%)	Mar-14, Mar-26	B.2.1	7 taxa
UK1352	7 (100.0%)	Mar-25, Apr-05	B.2.1	7 taxa
UK527	7 (100.0%)	Mar-24, Apr-10	B.1	7 taxa
UK1636	7 (100.0%)	Mar-27, Apr-07	B.1.1	7 taxa
UK698	7 (100.0%)	Apr-01, Aug-01	B.1.1	7 taxa
UK993	7 (100.0%)	Mar-27, Apr-14	B.1.1	7 taxa
UK1155	7 (100.0%)	Mar-07, Jun-03	B.1.1	7 taxa
UK184	6 (100.0%)	Mar-25, Apr-01	B.2.1	6 taxa
UK1347	6 (100.0%)	May-05, May-11	B.1.1	6 taxa
UK1126	6 (100.0%)	Mar-19, Apr-24	B.1.1	6 taxa
