Introduction	England	Scotland	Wales	Northern Ireland	Date range	Total sequences	Global lineage	Time since last sample (days)
UK58	9 (25.71%)	5 (14.29%)	0 (0%)	21 (60.0%)	Mar-13, Apr-22	35	B	3
UK105	35 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-11, Apr-18	35	B.1	7
UK135	34 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, Apr-07	34	B.1.13	18
UK139	32 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-19, Apr-13	32	B.1	12
UK103	31 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-15, Apr-09	31	B.1	16
UK159	31 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-21, Apr-22	31	B.1	3
UK51	0 (0%)	29 (96.67%)	1 (3.33%)	0 (0%)	Mar-17, Apr-22	30	B	3
UK17	30 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-18, Apr-11	30	B.1.11	14
UK20	1 (3.45%)	27 (93.1%)	0 (0%)	1 (3.45%)	Mar-13, Apr-05	29	B.2	20
UK2	29 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-01, Apr-19	29	B.1.20	6
UK836	29 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-11, Apr-21	29	B.1	4
UK14	25 (89.29%)	1 (3.57%)	2 (7.14%)	0 (0%)	Mar-03, Apr-24	28	B	1
UK44	28 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-19, Apr-22	28	B.2	3
UK142	22 (78.57%)	6 (21.43%)	0 (0%)	0 (0%)	Mar-26, Apr-22	28	B.1	3
UK41	0 (0%)	27 (96.43%)	1 (3.57%)	0 (0%)	Mar-12, Apr-12	28	A.2	13
UK4931	27 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, Apr-21	27	set()	4
UK137	26 (96.3%)	0 (0%)	1 (3.7%)	0 (0%)	Mar-25, Apr-16	27	B.1	9
UK46	25 (96.15%)	1 (3.85%)	0 (0%)	0 (0%)	Mar-18, Apr-17	26	B.1	8
UK52	21 (84.0%)	0 (0%)	4 (16.0%)	0 (0%)	Mar-11, Apr-08	25	B	17
UK3738	25 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-31, Apr-15	25	B.1	10
UK162	25 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-25, Apr-01	25	B.2.1	24
UK3737	24 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, Apr-24	24	B.1	1
UK63	0 (0%)	14 (60.87%)	9 (39.13%)	0 (0%)	Mar-18, Apr-18	23	B.1	7
UK1373	22 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-28, Apr-06	22	B.1	19
UK133	22 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-15, Apr-07	22	B.2.1	18
UK369	22 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, Apr-24	22	B.1	1
UK8	20 (95.24%)	0 (0%)	1 (4.76%)	0 (0%)	Mar-12, Mar-28	21	B.2.1	28
UK3702	21 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-10, Apr-23	21	B.1	2
UK123	16 (80.0%)	0 (0%)	4 (20.0%)	0 (0%)	Mar-01, Apr-19	20	B.1	6
UK53	19 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-10, Apr-10	19	B.2.1	15
UK49	19 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-17, Apr-23	19	B.1	2
UK15	0 (0%)	0 (0%)	19 (100.0%)	0 (0%)	Feb-20, Apr-12	19	B.1	13
UK34	19 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-14, Apr-02	19	B.2.1	23
UK66	6 (31.58%)	13 (68.42%)	0 (0%)	0 (0%)	Mar-04, Apr-01	19	B	24
UK129	19 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-16, Apr-21	19	B.1	4
UK173	18 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-28, Apr-17	18	B.1	8
UK114	18 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-14, Apr-16	18	B.2.1	9
UK165	18 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-27, Mar-06	18	B.1.7	50
UK111	18 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-16, Apr-05	18	B.1	20
UK1970	0 (0%)	18 (100.0%)	0 (0%)	0 (0%)	Apr-08, Apr-21	18	B.1.5	4
UK22	17 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-13, Apr-25	17	B.1	0
UK72	17 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-21, Apr-23	17	set()	2
UK60	0 (0%)	17 (100.0%)	0 (0%)	0 (0%)	Mar-18, Apr-23	17	B.1	2
UK140	17 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-25, Apr-19	17	B.1	6
UK1292	16 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, Apr-10	16	B.1	15
UK12	0 (0%)	16 (100.0%)	0 (0%)	0 (0%)	Mar-06, Mar-20	16	set()	36
UK3193	16 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, Apr-21	16	B.1	4
UK187	15 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-28, Apr-04	15	B.2.1	21
UK96	15 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-19, Apr-10	15	set()	15
UK93	0 (0%)	15 (100.0%)	0 (0%)	0 (0%)	Mar-21, Apr-22	15	B.1	3
UK153	15 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-21, Apr-15	15	B.1.5	10
UK21	15 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-13, Apr-14	15	B.2	11
UK36	13 (86.67%)	2 (13.33%)	0 (0%)	0 (0%)	Mar-25, Apr-20	15	set()	5
UK50	15 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-13, Apr-05	15	B.2.1	20
UK2576	1 (7.14%)	13 (92.86%)	0 (0%)	0 (0%)	Apr-06, Apr-23	14	B.1.11	2
UK31	12 (85.71%)	1 (7.14%)	1 (7.14%)	0 (0%)	Mar-17, Apr-13	14	B.3	12
UK715	14 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-19, Apr-18	14	B.1.5	7
UK1065	12 (92.31%)	1 (7.69%)	0 (0%)	0 (0%)	Feb-13, Apr-22	13	B.2	3
UK3707	13 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-07, Apr-23	13	B.1	2
UK35	2 (15.38%)	9 (69.23%)	2 (15.38%)	0 (0%)	Mar-20, Apr-23	13	B.1.5	2
UK668	13 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-27, Apr-23	13	B.1	2
UK2900	0 (0%)	12 (92.31%)	1 (7.69%)	0 (0%)	Mar-22, Apr-07	13	B.1	18
UK38	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-13, Apr-02	12	B.1	23
UK1849	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-06, Mar-14	12	B	42
UK89	0 (0%)	12 (100.0%)	0 (0%)	0 (0%)	Mar-13, Apr-11	12	set()	14
UK3827	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-18, Apr-07	12	B.1	18
UK109	5 (41.67%)	4 (33.33%)	3 (25.0%)	0 (0%)	Mar-09, Apr-13	12	B.1.7	12
UK131	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-21, Apr-06	12	B.1	19
UK2572	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-08, Apr-22	12	B.1.11	3
UK196	8 (66.67%)	1 (8.33%)	3 (25.0%)	0 (0%)	Mar-26, Apr-18	12	B.1	7
UK1231	11 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, Apr-11	11	set()	14
UK3708	11 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-04, Apr-23	11	B.1	2
UK110	0 (0%)	0 (0%)	11 (100.0%)	0 (0%)	Feb-11, Apr-04	11	B.1	21
UK5303	3 (27.27%)	1 (9.09%)	7 (63.64%)	0 (0%)	Mar-25, Apr-13	11	B.2.2	12
UK2810	11 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-12, Apr-23	11	B.1	2
UK3747	10 (90.91%)	0 (0%)	1 (9.09%)	0 (0%)	Apr-01, Apr-22	11	B.1	3
UK4172	11 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-15, Mar-05	11	B.1	51
UK1055	10 (90.91%)	0 (0%)	1 (9.09%)	0 (0%)	Mar-30, Apr-21	11	B.1	4
UK350	11 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-24, Apr-10	11	set()	15
UK2571	10 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-01, Apr-21	10	B.1.11	4
UK1433	10 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-15, Mar-06	10	B.4	50
UK3298	10 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-04, Apr-24	10	B.1	1
UK118	7 (70.0%)	2 (20.0%)	1 (10.0%)	0 (0%)	Mar-17, Apr-13	10	B.2	12
UK899	10 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, Apr-06	10	B.2.1	19
UK7	10 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-07, Apr-03	10	B.8	22
UK132	0 (0%)	10 (100.0%)	0 (0%)	0 (0%)	Mar-13, Mar-27	10	set()	29
UK294	10 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-30, Apr-23	10	set()	2
UK1184	10 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-15, Apr-08	10	B.1	17
UK1160	0 (0%)	0 (0%)	10 (100.0%)	0 (0%)	Mar-28, Apr-17	10	B.1.11	8
UK3775	10 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-28, Apr-04	10	B.1	21
UK566	0 (0%)	10 (100.0%)	0 (0%)	0 (0%)	Apr-01, Apr-23	10	B.1	2
UK3831	9 (90.0%)	1 (10.0%)	0 (0%)	0 (0%)	Mar-28, Apr-12	10	set()	13
UK4002	10 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, Apr-14	10	B.1	11
UK2060	10 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-08, Apr-23	10	B.1.5	2
UK57	9 (90.0%)	0 (0%)	1 (10.0%)	0 (0%)	Mar-16, Mar-30	10	B.8	26
UK1586	0 (0%)	9 (100.0%)	0 (0%)	0 (0%)	Mar-19, Apr-08	9	set()	17
UK4735	9 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-31, Apr-14	9	set()	11
UK3759	9 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-31, Apr-22	9	B.1	3
UK197	3 (33.33%)	2 (22.22%)	3 (33.33%)	1 (11.11%)	Mar-30, Apr-13	9	B.1	12
UK104	4 (44.44%)	0 (0%)	5 (55.56%)	0 (0%)	Mar-06, Apr-13	9	B.1	12
UK2899	9 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-06, Apr-15	9	B.1	10
UK42	9 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-26, Mar-15	9	B.1	41
UK172	7 (77.78%)	0 (0%)	2 (22.22%)	0 (0%)	Mar-03, Apr-02	9	B.1.7	23
UK5700	9 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-30, Apr-12	9	set()	13
UK29	2 (22.22%)	0 (0%)	7 (77.78%)	0 (0%)	Feb-03, Apr-08	9	B.3	17
UK2025	0 (0%)	9 (100.0%)	0 (0%)	0 (0%)	Apr-05, Apr-22	9	B.1.5	3
UK976	9 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-26, Apr-05	9	B.1	20
UK291	1 (11.11%)	0 (0%)	8 (88.89%)	0 (0%)	Mar-27, Apr-08	9	B.1	17
UK94	9 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-16, Apr-11	9	B.2	14
UK2038	0 (0%)	9 (100.0%)	0 (0%)	0 (0%)	Apr-13, Apr-22	9	B.1.5	3
UK5381	0 (0%)	9 (100.0%)	0 (0%)	0 (0%)	Mar-24, Apr-05	9	set()	20
UK112	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-12, Apr-07	8	B	18
UK4944	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-14, Apr-20	8	B.2.1	5
UK1124	7 (87.5%)	0 (0%)	1 (12.5%)	0 (0%)	Mar-31, Apr-21	8	B.1	4
UK158	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-10, Mar-30	8	B.2.1	26
UK3812	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-30, Apr-12	8	B.1	13
UK4930	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, Apr-08	8	set()	17
UK1458	0 (0%)	0 (0%)	8 (100.0%)	0 (0%)	Mar-23, Apr-08	8	B.1	17
UK3731	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-07, Apr-21	8	B.1	4
UK69	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-15, Apr-01	8	B.2.1	24
UK3754	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-07, Apr-22	8	B.1	3
UK37	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, Apr-15	8	B.1.7, B.1	10
UK2511	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-06, Apr-24	8	set()	1
UK43	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-13, Apr-13	8	B.2.1	12
UK613	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, Apr-15	8	B.1.7	10
UK3778	1 (12.5%)	7 (87.5%)	0 (0%)	0 (0%)	Mar-25, Apr-17	8	B.1	8
UK138	0 (0%)	1 (12.5%)	7 (87.5%)	0 (0%)	Mar-16, Apr-05	8	B.2.1	20
UK25	6 (75.0%)	1 (12.5%)	1 (12.5%)	0 (0%)	Mar-10, Apr-08	8	B.2.2	17
UK3411	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Apr-06, Apr-23	8	B.1	2
UK13	5 (62.5%)	1 (12.5%)	2 (25.0%)	0 (0%)	Mar-03, Apr-07	8	B.2	18
UK2395	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-07, Apr-14	8	set()	11
UK1112	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, Apr-03	8	B.1.13	22
UK3709	7 (87.5%)	0 (0%)	1 (12.5%)	0 (0%)	Apr-07, Apr-22	8	B.1	3
UK1109	3 (37.5%)	0 (0%)	5 (62.5%)	0 (0%)	Mar-21, Apr-13	8	B.2.1	12
UK2396	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-22, Apr-13	8	B.1.11	12
UK3765	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-03, Apr-24	8	B.1	1
UK3703	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-10, Apr-20	8	B.1	5
UK720	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-28, Mar-07	8	B.2.1	49
UK205	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-27, Apr-07	8	set()	18
UK3767	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-01, Apr-13	8	B.1	12
UK2240	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, Apr-11	7	set()	14
UK3761	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-03, Apr-23	7	set()	2
UK690	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-31, Apr-07	7	set()	18
UK3774	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-20, Apr-21	7	B.1	4
UK730	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-26, Apr-08	7	B.1	17
UK3810	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-31, Apr-08	7	set()	17
UK654	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, Apr-08	7	set()	17
UK33	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-16, Apr-16	7	B.2.1	9
UK146	0 (0%)	0 (0%)	7 (100.0%)	0 (0%)	Mar-18, Apr-06	7	B.2.2	19
UK2840	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-27, Apr-12	7	B.1	13
UK3921	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, Apr-17	7	B.1	8
UK3367	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-28, Apr-13	7	set()	12
UK3854	5 (71.43%)	0 (0%)	2 (28.57%)	0 (0%)	Mar-01, Apr-07	7	B.1	18
UK3771	4 (57.14%)	3 (42.86%)	0 (0%)	0 (0%)	Apr-01, Apr-22	7	B.1	3
UK184	0 (0%)	0 (0%)	7 (100.0%)	0 (0%)	Mar-28, Apr-06	7	B.1	19
UK2780	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-05, Apr-21	7	B.1	4
UK3299	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-21, Apr-17	7	B.1	8
UK649	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-04, Mar-30	7	B.1	26
UK2894	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-13, Apr-20	7	B.1	5
UK3704	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-13, Apr-22	7	B.1	3
UK3710	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-22, Apr-11	7	B.1	14
UK5701	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-01, Apr-23	7	B.1	2
UK1632	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-01, Mar-08	7	B.4	48
UK32	5 (83.33%)	1 (16.67%)	0 (0%)	0 (0%)	Mar-05, Apr-03	6	B.2.2	22
UK5735	0 (0%)	0 (0%)	6 (100.0%)	0 (0%)	Mar-26, Apr-13	6	B.1	12
UK120	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, Mar-31	6	B.1.7, B.1	25
UK5598	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-19, Mar-31	6	set()	25
UK1350	0 (0%)	0 (0%)	6 (100.0%)	0 (0%)	Mar-28, Apr-07	6	B.1	18
UK5039	5 (83.33%)	1 (16.67%)	0 (0%)	0 (0%)	Mar-18, Apr-02	6	B.2, B.2.1	23
UK502	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-24, Mar-30	6	B.3	26
UK4088	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-30, Apr-13	6	B.1	12
UK4932	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-22, Apr-19	6	B.2.1	6
UK3986	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-30, Apr-08	6	B.1	17
UK23	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-11, Mar-29	6	B.2.2	27
UK189	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-30, Apr-04	6	B.1	21
UK115	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-16, Apr-06	6	set()	19
UK59	0 (0%)	0 (0%)	6 (100.0%)	0 (0%)	Feb-22, Apr-08	6	B.2.1	17
UK3678	3 (50.0%)	0 (0%)	3 (50.0%)	0 (0%)	Mar-31, Apr-06	6	B.1	19
UK200	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-04, Apr-14	6	B.2.1	11
UK54	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-14, Mar-28	6	B.2, B.2.1	28
UK1252	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, Apr-10	6	set()	15
UK2062	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Apr-18, Apr-23	6	B.1.5	2
UK3888	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-30, Apr-13	6	B.1	12
UK864	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-13, Apr-13	6	set()	12
UK77	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-22, Apr-03	6	B.1	22
UK1390	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-01, Apr-20	6	set()	5
UK1075	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-24, Mar-30	6	B.1	26
UK3209	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-31, Apr-07	6	B.1	18
UK2161	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-03, Apr-06	6	set()	19
UK2160	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, Apr-20	6	set()	5
UK156	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-24, Apr-12	6	B.1	13
UK978	2 (33.33%)	0 (0%)	4 (66.67%)	0 (0%)	Mar-20, Apr-08	6	B.2.1	17
UK4807	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-31, Apr-15	6	set()	10
UK1312	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, Apr-12	6	B.1	13
UK1494	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-01, Mar-07	6	B.1	49
UK4624	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, Apr-12	6	set()	13
UK208	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-25, Mar-31	6	B.2.1	25
UK179	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-18, Apr-06	6	B.1.10	19
UK80	3 (50.0%)	2 (33.33%)	1 (16.67%)	0 (0%)	Mar-20, Apr-01	6	B.1	24
UK3760	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-04, Apr-25	6	B.1	0
UK3728	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-19, Apr-02	6	B.1	23
UK5617	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, Apr-15	6	B	10
