Lineage name	Date range	Number of sequences	Global lineage	Time since last sample (days)	Activity score
UK131	Mar-11, Apr-14	34	B.15	49	0.0183
UK138	Mar-23, Apr-26	33	B.2.1	37	0.0287
UK3019	Mar-06, May-07	33	B.1	26	0.0662
UK5660	Apr-11, May-10	33	B.1.1	23	0.0764
UK173	Mar-16, May-19	32	B	14	0.1475
UK167	Mar-29, May-21	31	B.1, B.1.66	12	0.1472
UK79	Mar-24, May-05	30	B.1	28	0.0517
UK95	Mar-10, May-07	30	B.2.1	26	0.0744
UK113	Mar-22, May-30	28	B.1.1	3	0.8519
UK241	Mar-22, Apr-16	28	B.1.5.3	47	0.0197
UK116	Feb-25, Apr-01	28	B.2.1	62	0.0215
UK300	Mar-28, May-04	27	B.1.1	29	0.0491
UK5741	Mar-01, Apr-19	27	B.1, B.2	44	0.0398
UK351	Apr-13, May-21	27	B.1.1, B.1.1.10	12	0.1218
UK53	Mar-26, May-22	27	B.1.1.4	11	0.096
UK144	Mar-05, Apr-07	26	B.2.1	56	0.0236
UK565	Mar-31, May-13	26	B.1.1	20	0.086
UK183	Mar-29, Apr-23	26	B.1.1	40	0.025
UK33	Mar-30, May-12	25	B.1.1	21	0.0853
UK114	Mar-16, May-25	25	B.1.1	8	0.3646
UK64	Mar-12, May-05	25	B.1	28	0.0536
UK57	Apr-05, Apr-28	25	B.1.1	35	0.0274
UK5675	Mar-03, May-06	25	B.2	27	0.0847
UK235	Mar-21, May-04	25	B.1.1	29	0.0632
UK81	Mar-19, Apr-27	24	B.1.1	36	0.0451
UK119	Mar-11, Apr-16	24	B.2.5	47	0.0247
UK103	Mar-20, May-27	24	B.1.1	6	0.4928
UK248	Apr-08, May-16	24	B.1.1	17	0.086
UK158	Mar-23, May-17	24	B.1.1, B.1.1.2	16	0.0168
UK101	Mar-21, Apr-27	23	B.1.5	36	0.0447
UK92	Mar-23, Apr-30	23	B.1.1	33	0.0501
UK326	Mar-22, May-22	23	B.1.1.10	11	0.2521
UK109	Mar-21, May-01	23	B.1.5	32	0.0512
UK3021	Mar-12, May-16	23	B.1	17	0.0237
UK5649	Mar-15, May-11	23	B.1.1, B.2.6	22	0.1036
UK24	Mar-18, May-04	22	B.1.1, B.1.1.10	29	0.0772
UK30	Mar-15, May-15	22	B.1.1	18	0.1614
UK2200	Feb-28, May-05	22	B.1.5, B.1.5.6	28	0.0263
UK61	Mar-12, May-15	22	B.3	18	0.0093
UK5549	Mar-04, May-18	22	B.2.2	15	0.2
UK279	Mar-26, Apr-25	22	B.1.1	38	0.0376
UK174	Mar-19, May-22	21	B.1.5	11	0.2909
UK722	Mar-23, May-18	21	B.1.1	15	0.1867
UK384	Mar-14, Apr-02	21	B.2.1	61	0.0156
UK135	Apr-01, May-14	21	B.1.p11	19	0.1132
UK72	Mar-13, May-04	20	B.10	29	0.023
UK307	Mar-28, May-04	20	B.1.1	29	0.0672
UK75	Mar-17, Apr-26	20	B.1.34, B.1	37	0.0569
UK293	Mar-24, Apr-28	20	B.1	35	0.0526
UK419	Mar-30, May-02	19	B.1.1	31	0.0591
UK219	Mar-26, May-02	19	B.1.1	31	0.0628
UK514	Mar-30, Apr-13	19	B.1.1	50	0.0156
UK291	Mar-13, Apr-05	19	B.2.1	58	0.0209
UK2013	Mar-15, Apr-26	19	B.1	37	0.0597
UK126	Mar-29, May-03	18	B.1.1	30	0.0686
UK1764	Mar-14, Apr-19	18	B.3	44	0.0481
UK117	Feb-28, Apr-04	18	B.2.1	59	0.0359
UK376	Apr-04, May-08	17	B.1.1	25	0.085
UK2045	Mar-17, May-09	17	B.1, B	24	0.138
UK4442	May-10, May-24	17	B.1.1	9	0.0972
UK888	Apr-05, May-04	17	B.1.1	29	0.0588
UK5309	Mar-20, Apr-29	17	B.1.1, B.1.1.10	34	0.0619
UK143	Mar-14, Apr-16	17	B.2.1	47	0.0439
UK29	Mar-09, May-08	17	B.1.1	25	0.15
UK403	Mar-23, Apr-15	17	B.1.1	48	0.0299
UK41	Mar-01, Apr-24	17	B.1	39	0.0729
UK195	Mar-29, May-03	16	B.1.1	30	0.0778
UK67	Mar-25, May-21	16	B.1.1	12	0.3167
UK5084	Mar-29, Apr-18	16	B.1	45	0.0261
UK86	Mar-05, May-14	16	B.1	19	0.0722
UK397	Mar-28, Apr-18	16	B.1.1, B.1.1.13	45	0.0311
UK46	Mar-02, May-08	16	B.2.1	25	0.1675
UK374	Apr-01, Apr-20	15	B.1.1	43	0.0316
UK5715	Feb-13, Apr-22	15	B.1.1, B.2	41	0.1122
UK134	Mar-04, Apr-07	15	B.1	56	0.0337
UK1849	Apr-07, Apr-20	15	B.1.1	43	0.0216
UK5713	Mar-26, Apr-14	14	B.1.1, B.2	49	0.0298
UK5180	Apr-04, Apr-24	14	B.1.1.7	39	0.0394
UK253	Apr-03, May-03	14	B.1.1	30	0.0769
UK354	Mar-18, Apr-11	14	B.1.1	52	0.033
UK501	Apr-03, Apr-29	14	B.1, B	34	0.0588
UK569	Mar-23, May-12	14	B.1.1	21	0.1832
UK146	Mar-24, May-07	14	B.1.1	26	0.1209
UK254	Mar-20, Apr-14	14	B.1.1	49	0.0392
UK726	Mar-30, May-04	14	B.1	29	0.0928
UK505	Mar-21, May-15	14	B.1.1, B.1.1.p11	18	0.235
UK153	Mar-13, Apr-14	14	B.2	49	0.0502
UK278	Apr-10, May-06	14	B.1.1	27	0.0741
UK249	Apr-01, Apr-25	14	B.1.1	38	0.0439
UK236	Mar-27, Apr-22	14	B.1.1	41	0.0453
UK179	Mar-26, May-07	14	B.1.1.p11	26	0.053
UK5214	Mar-20, May-04	14	B.1.1	29	0.1194
UK5260	Mar-29, May-02	13	B.1.1	31	0.0914
UK378	Feb-15, Mar-05	13	B.1.1	89	0.0178
UK308	Apr-09, May-18	13	B.1.1	15	0.2167
UK5663	Apr-11, May-02	13	B.1.1, B.2	31	0.0565
UK34	Feb-15, Apr-02	13	B.4	61	0.0642
UK637	Mar-28, May-01	13	B.1.1	32	0.0885
UK5498	Apr-01, Apr-20	13	B.2	43	0.0368
UK247	Apr-04, May-27	13	B.1.1	6	0.7361
UK45	Mar-02, Apr-16	13	B.1.1	47	0.0563
UK148	Apr-02, May-13	12	B.1.1	20	0.1864
UK806	Apr-04, May-08	12	B.1.1.10	25	0.1236
UK694	Mar-06, Mar-14	12	B	80	0.0091
UK186	Apr-08, May-15	12	B	18	0.2269
UK347	Mar-13, Apr-02	12	B.1	61	0.0298
UK111	Mar-25, May-18	12	B.1.1	15	0.3273
UK604	Mar-09, Mar-17	12	B.1.1	77	0.0089
UK71	Mar-08, Apr-30	12	B	33	0.1338
UK269	Apr-04, May-06	12	B.1.1	27	0.0784
UK266	Apr-06, Apr-30	12	B.1	33	0.0661
UK5505	Mar-29, May-01	12	B.1	32	0.0938
UK689	Mar-05, Apr-07	12	B.2.1, B.2	56	0.0491
UK47	Mar-17, May-18	12	B.1.1	15	0.2431
UK180	Mar-30, May-01	11	B.1.1	32	0.0909
UK5703	Mar-06, Apr-15	11	B.1.1, B.2	48	0.0758
UK5409	Mar-27, Apr-19	11	B.1.1	44	0.0523
UK759	Mar-28, Apr-27	11	B.1.1	36	0.0694
UK329	Apr-11, May-09	11	B.1.1	24	0.1736
UK54	Mar-18, Apr-30	11	B.1.1.10	33	0.1303
UK368	Mar-18, May-01	11	B.1	32	0.1375
UK415	Apr-19, May-06	11	B.1	27	0.063
UK441	Apr-04, May-01	11	B.1.1	32	0.0649
UK428	Mar-20, Apr-06	11	B.2.1, B.2	57	0.0298
UK240	Mar-16, Apr-11	11	B.2	52	0.05
UK511	Apr-05, May-06	11	B.1.1	27	0.1148
UK5339	Apr-15, Apr-29	11	B.1.1	34	0.0412
UK1018	Apr-20, Apr-21	11	B.1.1	42	0.0024
UK251	Mar-17, May-02	11	B.1.1	31	0.1349
UK141	Mar-22, Apr-24	11	B.1.1	39	0.0846
UK163	Mar-27, May-03	11	B.1.1	30	0.0949
UK132	Mar-27, Apr-30	10	B.1	33	0.0859
UK22	Mar-02, Apr-21	10	B	42	0.1323
UK297	Apr-09, May-26	10	B.1.p11	7	0.746
UK171	Mar-13, Apr-13	10	B.2.1, B.2	50	0.0689
UK687	Feb-28, Mar-08	10	B.2.1, B.2	86	0.0116
UK255	Mar-26, Apr-20	10	B.1.1	43	0.0581
UK125	Apr-22, May-20	10	B.1.1	13	0.2393
UK42	Mar-28, May-16	10	B.1, B.1.35	17	0.028
UK123	Mar-23, May-01	10	B.1	32	0.1354
UK38	Mar-04, May-11	10	B.2.1	22	0.1627
UK78	Mar-29, May-14	10	B.1.5	19	0.269
UK91	Mar-28, May-06	10	B.1.1	27	0.1605
UK201	Mar-29, May-13	10	B.1	20	0.25
UK2906	Apr-08, May-22	10	B.1	11	0.4545
UK541	Apr-01, May-20	10	B.1.1	13	0.4188
UK242	Mar-26, Apr-20	10	B.1.5	43	0.0646
UK5543	Mar-10, Apr-29	10	B.2.1	34	0.1634
UK161	Mar-10, May-25	10	B.1.1	8	0.6786
UK5707	Mar-18, Apr-16	9	B.1.1, B.2	47	0.0617
UK645	Mar-29, Apr-08	9	B.2.1	55	0.0227
UK178	Mar-14, Apr-13	9	B.1.1	50	0.075
UK312	Mar-01, Mar-23	9	B.1.1	71	0.0387
UK49	Mar-19, Jun-02	9	B.2.1	0	active today
UK168	Mar-16, Apr-16	9	B.2.1	47	0.0824
UK311	Mar-20, Apr-11	9	B.1.1	52	0.0529
UK802	Mar-21, Apr-22	9	B.1	41	0.0976
UK564	Apr-03, May-02	9	B.1.1	31	0.1169
UK203	Apr-01, May-17	9	B.1.1	16	0.2448
UK913	Apr-03, May-04	9	B.1	29	0.1336
UK5423	Apr-23, May-04	9	B.1.1	29	0.1073
UK432	Mar-24, Apr-09	9	B.3	54	0.037
UK237	Mar-31, May-16	9	B.1.1	17	0.3382
UK5338	Apr-29, May-02	9	B.1.1	31	0.0121
UK5685	Mar-17, May-03	9	B.2	30	0.1306
UK5308	Apr-29, May-01	9	B.1.1	32	0.0078
UK3875	Apr-08, May-12	8	B.1.1	21	0.2313
UK733	Mar-10, Apr-22	8	B.2.1	41	0.1498
UK244	Mar-12, Apr-30	8	B.1.1	33	0.1856
UK318	Mar-20, Apr-10	8	B	53	0.0566
UK1013	Apr-15, Apr-16	8	B.1.1	47	0.003
UK5178	Mar-21, Apr-17	8	B.1.1.7	46	0.0839
UK306	Mar-26, Apr-10	8	B.1.1	53	0.0354
UK252	Apr-04, Apr-29	8	B.1.1	34	0.105
UK5307	Mar-10, May-12	8	B.1.1	21	0.3869
UK335	Mar-25, Apr-15	8	B.2.1	48	0.0625
UK70	Mar-06, Apr-16	8	B.2	47	0.0872
UK2918	Mar-02, Apr-27	8	B.1	36	0.1111
UK83	Feb-29, Apr-08	8	B.1.1	55	0.0709
UK341	Mar-23, Apr-12	8	B.1	51	0.056
UK193	Apr-08, May-13	8	B.1.1	20	0.0913
UK756	Feb-27, Mar-05	8	B.1.1	89	0.0112
UK739	Mar-01, Mar-08	8	B.4	86	0.0116
UK5563	Apr-11, Apr-22	8	B.2.2	41	0.0383
UK142	Mar-15, Apr-01	8	B.2.1	62	0.0392
UK220	Mar-27, Apr-11	8	B.1.1	52	0.0412
UK788	Feb-28, Mar-05	8	B.4	89	0.0096
UK5557	Mar-11, May-13	8	B.2.2	20	0.35
UK532	Apr-04, Apr-17	8	B.1.1	46	0.0404
UK574	Mar-30, Apr-29	8	B.1.1	34	0.1261
UK287	Mar-28, Apr-18	8	B.1	45	0.0511
UK480	Apr-02, May-27	8	B.1.1	6	1.3095
UK223	Mar-10, Apr-06	8	B.2.1	57	0.0677
UK232	Mar-04, Mar-30	7	B.1.1	64	0.0677
UK510	Apr-02, Apr-16	7	B.1.1	47	0.0496
UK634	Mar-30, Apr-18	7	B.1.1	45	0.0704
UK372	Apr-16, May-13	7	B.1.1	20	0.225
UK65	Mar-07, Apr-17	7	B.1.1	46	0.1273
UK280	Mar-31, May-06	7	B.1.1	27	0.2222
UK540	Apr-09, Apr-22	7	B.1.1, B.1.1.p15	41	0.0528
UK15	Mar-06, May-06	7	B.1.1	27	0.2259
UK3323	Mar-26, Apr-28	7	B.1.1	35	0.1571
UK534	Apr-13, May-13	7	B.1.1	20	0.2143
UK5523	May-01, May-23	7	B.1	10	0.3667
UK487	Mar-24, Apr-08	7	B.1.1	55	0.039
UK629	Mar-23, Apr-13	7	B.1	50	0.07
UK5300	Apr-17, May-06	7	B.1.1	27	0.1173
UK129	Mar-23, Apr-29	7	B.1.1	34	0.1555
UK5261	Mar-29, May-01	7	B.1.1	32	0.1473
UK692	Mar-04, Apr-03	7	B.2.1, B, B.2	60	0.0833
UK206	Mar-22, Apr-19	7	B.2.1	44	0.1061
UK268	Mar-23, Apr-16	7	B.1.1	47	0.0511
UK317	Mar-26, Apr-16	7	B.3	47	0.0745
UK390	Mar-27, May-01	7	B.1.5	32	0.1823
UK352	Apr-11, May-03	7	B.1.1	30	0.1222
UK2258	Mar-23, May-07	7	B.1	26	0.2885
UK5708	Mar-30, May-01	7	B.1.1	32	0.1429
UK69	Mar-04, Apr-14	7	B.2.1	49	0.1195
UK5177	Mar-27, Apr-11	7	B.1.1.7	52	0.0481
UK289	Mar-25, Apr-16	7	B.2.1	47	0.078
UK5174	Mar-26, Apr-07	7	B.1.1.7	56	0.0306
UK309	Apr-01, May-17	7	B.1.1	16	0.4792
UK182	Apr-03, May-02	7	B.1.1	31	0.1559
UK1006	Apr-04, Apr-29	7	B.1.1	34	0.1225
UK213	Mar-18, Apr-17	7	B.1.1	46	0.1087
UK654	Feb-27, Mar-08	6	B.2.5	86	0.0233
UK542	Apr-01, Apr-14	6	B.1	49	0.0531
UK5581	Mar-11, Apr-08	6	B.2.2	55	0.1018
UK196	Mar-18, Apr-17	6	B.2.1	46	0.1304
UK647	Mar-21, Mar-27	6	B.2.1, B.2	67	0.0249
UK110	Mar-24, Apr-29	6	B.1	34	0.2118
UK1244	May-01, May-11	6	B.1.1	22	0.0909
UK544	Mar-24, Apr-06	6	B.2.1	57	0.0456
UK5780	Mar-14, Mar-29	6	B.2.1, B.2	65	0.0462
UK5666	Mar-13, May-10	6	B.2	23	0.4203
UK520	Mar-14, Mar-28	6	B.2.1, B.2	66	0.0424
UK58	Mar-17, Apr-24	6	B.1	39	0.0689
UK793	Apr-08, May-21	6	B.1.5, B.1	12	0.7167
UK799	Mar-01, Mar-07	6	B.1	87	0.0138
UK5297	Mar-30, Apr-04	6	B.1.1	59	0.0169
UK5743	Mar-21, Apr-06	6	B.1, B.2	57	0.0561
UK5903	Mar-25, Apr-18	6	B.2	45	0.1067
UK5486	May-01, May-28	6	B.2	5	1.08
UK673	Mar-28, May-18	6	B.1.1	15	0.68
UK435	Apr-03, Apr-23	6	B.1.5	40	0.1
UK413	Mar-06, Apr-03	6	B	60	0.0933
UK746	Mar-31, Apr-14	6	B.1.5	49	0.0571
UK331	Mar-31, May-01	6	B.1.1	32	0.1938
UK40	Mar-31, May-12	6	B.16	21	0.0201
UK394	Mar-20, May-24	6	B.1.1	9	0.2698
UK330	Mar-23, Apr-13	6	B.1.1	50	0.084
UK488	Mar-31, Apr-15	6	B.1	48	0.0625
UK1344	Apr-20, May-08	6	B	25	0.144
UK517	Mar-29, Apr-12	6	B.1.1	51	0.0549
UK1023	Apr-07, Apr-16	6	B.1.1	47	0.0383
UK5648	Mar-08, May-19	6	B.1.1, B.2	14	1.0286
UK570	Apr-05, Apr-17	6	B.1.1	46	0.0522
UK566	Apr-03, Apr-15	6	B.1.1.10	48	0.05
UK481	Mar-30, Apr-14	6	B.1.1	49	0.0612
UK157	Apr-11, Jun-02	6	B.1	0	active today
UK313	Mar-23, Apr-14	6	B.1.1	49	0.0898
UK102	Mar-10, Apr-16	6	B.1	47	0.1574
UK68	Mar-20, Apr-30	6	B.1.1	33	0.2485
UK755	Mar-06, May-21	6	B.1.1	12	1.2667
UK5650	Mar-08, May-22	6	B.1.1, B.2.6	11	1.3636
UK443	Mar-31, May-14	6	B.1.1	19	0.4632
UK512	Mar-30, Apr-13	6	B.1.1	50	0.056
UK284	Apr-02, Apr-25	6	B.1.1	38	0.1211
UK447	Apr-05, Apr-21	6	B.1.1	42	0.0762
UK27	Mar-08, Apr-26	6	B.1.1	37	0.2649
UK4237	Apr-15, Apr-15	6	B.1.1	48	0.0
UK659	Mar-21, Mar-30	6	B	64	0.0281
UK489	Mar-23, Apr-07	6	B.2.1	56	0.0536
UK4399	Mar-08, Apr-16	6	B.1.1	47	0.1383
UK670	Mar-28, May-07	6	B.1.1	26	0.2564
UK3126	Apr-06, May-04	6	B.1.1	29	0.1931
UK202	Mar-10, May-05	6	B.1.1	28	0.1538
UK263	Mar-20, Apr-13	6	B.1.p11	50	0.096
UK16	Apr-16, May-06	6	B.1.1	27	0.1481
UK188	Mar-07, Apr-08	6	B.1	55	0.0727
UK682	Mar-21, Mar-31	6	B.2.1, B.2	63	0.0265
UK440	Mar-28, Apr-13	6	B.1.1.10	50	0.064
UK680	Apr-05, Apr-14	6	B.1	49	0.0367
UK857	Mar-24, Mar-29	6	B.2.1	65	0.0154
