Introduction	Northern Ireland	Wales	Scotland	England	Date range	Total sequences	Global lineage	Time since last sample (days)
UK66	0 (0%)	0 (0%)	15 (71.43%)	6 (28.57%)	Mar-04, Apr-02	21	B	30
UK140	0 (0%)	0 (0%)	0 (0%)	21 (100.0%)	Mar-25, Apr-19	21	B.1	13
UK129	0 (0%)	0 (0%)	0 (0%)	21 (100.0%)	Mar-16, Apr-21	21	B.1	11
UK95	0 (0%)	0 (0%)	6 (28.57%)	15 (71.43%)	Feb-27, Mar-18	21	B	45
UK72	0 (0%)	0 (0%)	0 (0%)	21 (100.0%)	Mar-21, Apr-23	21	B.1	9
UK22	0 (0%)	0 (0%)	0 (0%)	20 (100.0%)	Mar-13, Apr-27	20	B.1	5
UK60	0 (0%)	0 (0%)	20 (100.0%)	0 (0%)	Mar-18, Apr-27	20	B.1	5
UK165	0 (0%)	0 (0%)	0 (0%)	20 (100.0%)	Feb-27, Mar-08	20	B.1.7	55
UK2900	0 (0%)	1 (5.26%)	18 (94.74%)	0 (0%)	Mar-22, Apr-25	19	B.1	7
UK3906	0 (0%)	0 (0%)	1 (5.26%)	18 (94.74%)	Mar-23, Apr-29	19	B.1	3
UK6522	0 (0%)	0 (0%)	0 (0%)	19 (100.0%)	Mar-30, Apr-13	19	B.1	19
UK93	0 (0%)	0 (0%)	19 (100.0%)	0 (0%)	Mar-21, Apr-22	19	B.1	10
UK3854	0 (0%)	5 (26.32%)	0 (0%)	14 (73.68%)	Mar-01, Apr-12	19	B.1	20
UK3707	0 (0%)	0 (0%)	1 (5.26%)	18 (94.74%)	Mar-14, Apr-26	19	B.1	6
UK36	0 (0%)	0 (0%)	2 (10.53%)	17 (89.47%)	Mar-25, Apr-28	19	B.1	4
UK153	0 (0%)	0 (0%)	0 (0%)	18 (100.0%)	Mar-21, Apr-16	18	B.1.5	16
UK187	0 (0%)	0 (0%)	0 (0%)	18 (100.0%)	Feb-28, Apr-04	18	B.2.1, B.2	28
UK131	0 (0%)	0 (0%)	0 (0%)	18 (100.0%)	Mar-21, Apr-11	18	B.1	21
UK3704	0 (0%)	0 (0%)	0 (0%)	17 (100.0%)	Mar-13, Apr-22	17	B.1, B.1.10	10
UK1312	0 (0%)	0 (0%)	0 (0%)	17 (100.0%)	Mar-20, Apr-30	17	B.1	2
UK114	0 (0%)	0 (0%)	0 (0%)	17 (100.0%)	Mar-14, Apr-16	17	B.2.1	16
UK715	0 (0%)	0 (0%)	0 (0%)	17 (100.0%)	Mar-19, Apr-18	17	B.1.5	14
UK3778	0 (0%)	0 (0%)	15 (93.75%)	1 (6.25%)	Mar-25, Apr-26	16	B.1	6
UK197	1 (6.25%)	8 (50.0%)	3 (18.75%)	4 (25.0%)	Mar-30, Apr-24	16	B.1	8
UK1292	0 (0%)	0 (0%)	0 (0%)	16 (100.0%)	Mar-23, Apr-10	16	B.1	22
UK110	0 (0%)	16 (100.0%)	0 (0%)	0 (0%)	Mar-23, Apr-07	16	B.1	25
UK12	0 (0%)	0 (0%)	16 (100.0%)	0 (0%)	Mar-06, Mar-20	16	B.1	43
UK21	0 (0%)	0 (0%)	0 (0%)	16 (100.0%)	Mar-13, Apr-14	16	B.2	18
UK1231	0 (0%)	0 (0%)	0 (0%)	15 (100.0%)	Mar-20, Apr-14	15	B.1	18
UK3831	0 (0%)	0 (0%)	1 (6.67%)	14 (93.33%)	Mar-28, Apr-15	15	B.1	17
UK3761	0 (0%)	0 (0%)	0 (0%)	15 (100.0%)	Apr-03, Apr-27	15	B.1	5
UK89	0 (0%)	0 (0%)	15 (100.0%)	0 (0%)	Mar-13, Apr-15	15	B.1	17
UK3886	0 (0%)	0 (0%)	0 (0%)	15 (100.0%)	Apr-05, Apr-09	15	B.1	23
UK976	0 (0%)	0 (0%)	0 (0%)	14 (100.0%)	Mar-24, Apr-10	14	B.1	22
UK3759	0 (0%)	0 (0%)	2 (14.29%)	12 (85.71%)	Mar-13, Apr-30	14	B.1	2
UK1458	0 (0%)	14 (100.0%)	0 (0%)	0 (0%)	Mar-23, Apr-09	14	B.1	23
UK109	0 (0%)	7 (50.0%)	2 (14.29%)	5 (35.71%)	Mar-12, Apr-13	14	B.1, B.1.7	19
UK5700	0 (0%)	0 (0%)	0 (0%)	14 (100.0%)	Mar-27, Apr-15	14	B.1	17
UK1055	0 (0%)	1 (7.69%)	0 (0%)	12 (92.31%)	Mar-30, Apr-27	13	B.1	5
UK668	0 (0%)	0 (0%)	0 (0%)	13 (100.0%)	Mar-27, Apr-23	13	B.1	9
UK3298	0 (0%)	0 (0%)	0 (0%)	13 (100.0%)	Apr-04, Apr-24	13	B.1	8
UK2062	0 (0%)	0 (0%)	13 (100.0%)	0 (0%)	Apr-18, Apr-30	13	B.1.5	2
UK5303	0 (0%)	7 (53.85%)	2 (15.38%)	4 (30.77%)	Mar-20, Apr-13	13	B.2.2	19
UK3827	0 (0%)	0 (0%)	0 (0%)	13 (100.0%)	Mar-18, Apr-11	13	B.1	21
UK4088	0 (0%)	0 (0%)	0 (0%)	13 (100.0%)	Mar-30, Apr-14	13	B.1	18
UK1065	0 (0%)	0 (0%)	1 (7.69%)	12 (92.31%)	Feb-13, Apr-22	13	B.2	10
UK184	0 (0%)	13 (100.0%)	0 (0%)	0 (0%)	Mar-28, Apr-13	13	B.1	19
UK3921	0 (0%)	0 (0%)	0 (0%)	12 (100.0%)	Mar-29, Apr-27	12	B.1	5
UK37	0 (0%)	0 (0%)	0 (0%)	12 (100.0%)	Mar-29, Apr-16	12	B.1, B.1.7	16
UK291	0 (0%)	10 (83.33%)	0 (0%)	2 (16.67%)	Mar-27, Apr-13	12	B.1, B.1.5	19
UK38	0 (0%)	0 (0%)	0 (0%)	12 (100.0%)	Mar-13, Apr-02	12	B.1	30
UK196	0 (0%)	3 (25.0%)	1 (8.33%)	8 (66.67%)	Mar-26, Apr-18	12	B.1	14
UK146	0 (0%)	12 (100.0%)	0 (0%)	0 (0%)	Mar-18, Apr-09	12	B.2.2	23
UK205	0 (0%)	1 (8.33%)	2 (16.67%)	9 (75.0%)	Mar-27, Apr-25	12	B.1	7
UK3747	0 (0%)	1 (8.33%)	0 (0%)	11 (91.67%)	Apr-01, Apr-26	12	B.1	6
UK566	0 (0%)	0 (0%)	12 (100.0%)	0 (0%)	Apr-01, May-02	12	B.1	0
UK1849	0 (0%)	0 (0%)	0 (0%)	12 (100.0%)	Mar-06, Mar-14	12	B	49
UK1258	0 (0%)	7 (58.33%)	0 (0%)	5 (41.67%)	Mar-28, Apr-30	12	B.1	2
UK3767	0 (0%)	0 (0%)	0 (0%)	12 (100.0%)	Apr-01, Apr-20	12	B.1	12
UK77	0 (0%)	0 (0%)	0 (0%)	12 (100.0%)	Mar-12, Apr-17	12	B.1	15
UK3708	0 (0%)	0 (0%)	0 (0%)	12 (100.0%)	Apr-04, Apr-23	12	B.1	9
UK2810	0 (0%)	0 (0%)	0 (0%)	11 (100.0%)	Apr-12, Apr-23	11	B.1	9
UK4002	0 (0%)	0 (0%)	0 (0%)	11 (100.0%)	Mar-29, Apr-14	11	B.1	18
UK7	0 (0%)	0 (0%)	0 (0%)	11 (100.0%)	Mar-07, Apr-03	11	B.8	29
UK4172	0 (0%)	0 (0%)	0 (0%)	11 (100.0%)	Feb-15, Mar-05	11	B.1	58
UK1124	0 (0%)	1 (9.09%)	0 (0%)	10 (90.91%)	Mar-27, Apr-25	11	B.1	7
UK2840	0 (0%)	0 (0%)	0 (0%)	11 (100.0%)	Mar-27, Apr-13	11	B.1, B.1.7	19
UK939	7 (63.64%)	1 (9.09%)	3 (27.27%)	0 (0%)	Mar-11, Apr-02	11	B	30
UK2899	0 (0%)	0 (0%)	0 (0%)	11 (100.0%)	Apr-06, Apr-30	11	B.1	2
UK124	0 (0%)	2 (18.18%)	0 (0%)	9 (81.82%)	Mar-23, Mar-30	11	B.1	33
UK94	0 (0%)	0 (0%)	0 (0%)	11 (100.0%)	Mar-16, Apr-11	11	B.2	21
UK118	0 (0%)	1 (9.09%)	2 (18.18%)	8 (72.73%)	Mar-17, Apr-13	11	B.2	19
UK2572	0 (0%)	0 (0%)	0 (0%)	11 (100.0%)	Apr-08, Apr-22	11	B.1.11	10
UK3740	0 (0%)	0 (0%)	0 (0%)	11 (100.0%)	Mar-28, Apr-17	11	B.1	15
UK899	0 (0%)	0 (0%)	0 (0%)	11 (100.0%)	Mar-20, Apr-06	11	B.2.1, B.2	26
UK132	0 (0%)	0 (0%)	11 (100.0%)	0 (0%)	Mar-13, Apr-05	11	B.2	27
UK2270	0 (0%)	0 (0%)	0 (0%)	11 (100.0%)	Apr-13, Apr-27	11	B.1	5
UK3774	0 (0%)	0 (0%)	0 (0%)	11 (100.0%)	Apr-20, Apr-21	11	B.1	11
UK3760	0 (0%)	0 (0%)	0 (0%)	10 (100.0%)	Apr-04, Apr-27	10	B.1	5
UK2038	0 (0%)	0 (0%)	10 (100.0%)	0 (0%)	Apr-13, Apr-29	10	B.1.5	3
UK43	0 (0%)	0 (0%)	0 (0%)	10 (100.0%)	Mar-13, Apr-13	10	B.2.1, B.2	19
UK3710	0 (0%)	0 (0%)	0 (0%)	10 (100.0%)	Mar-22, Apr-11	10	B.1	21
UK690	1 (10.0%)	0 (0%)	0 (0%)	9 (90.0%)	Mar-26, Apr-07	10	B.1	25
UK720	0 (0%)	0 (0%)	0 (0%)	10 (100.0%)	Feb-28, Mar-08	10	B.2.1, B.2	55
UK1184	0 (0%)	0 (0%)	0 (0%)	10 (100.0%)	Mar-15, Apr-08	10	B.1	24
UK1586	0 (0%)	0 (0%)	10 (100.0%)	0 (0%)	Mar-19, Apr-08	10	A.3	24
UK42	0 (0%)	0 (0%)	0 (0%)	10 (100.0%)	Feb-26, Mar-15	10	B.1	48
UK57	0 (0%)	1 (10.0%)	0 (0%)	9 (90.0%)	Mar-16, Mar-30	10	B.8	33
UK3731	0 (0%)	0 (0%)	0 (0%)	10 (100.0%)	Apr-07, Apr-24	10	B.1	8
UK3411	0 (0%)	0 (0%)	9 (90.0%)	1 (10.0%)	Apr-04, Apr-28	10	B.1	4
UK4735	0 (0%)	0 (0%)	0 (0%)	10 (100.0%)	Mar-31, Apr-14	10	B.1	18
UK730	0 (0%)	0 (0%)	0 (0%)	10 (100.0%)	Mar-26, Apr-20	10	B.1	12
UK3754	0 (0%)	1 (10.0%)	0 (0%)	9 (90.0%)	Apr-07, Apr-22	10	B.1	10
UK2571	0 (0%)	0 (0%)	0 (0%)	10 (100.0%)	Apr-01, Apr-21	10	B.1.11	11
UK2060	0 (0%)	0 (0%)	0 (0%)	10 (100.0%)	Apr-08, Apr-23	10	B.1.5	9
UK2025	0 (0%)	0 (0%)	10 (100.0%)	0 (0%)	Apr-05, Apr-22	10	B.1.5	10
UK3775	0 (0%)	0 (0%)	0 (0%)	10 (100.0%)	Mar-28, Apr-04	10	B.1	28
UK1433	0 (0%)	0 (0%)	0 (0%)	10 (100.0%)	Feb-15, Mar-06	10	B.4	57
UK3471	0 (0%)	9 (100.0%)	0 (0%)	0 (0%)	Mar-29, Apr-09	9	B.1	23
UK3812	0 (0%)	0 (0%)	0 (0%)	9 (100.0%)	Mar-30, Apr-12	9	B.1	20
UK59	0 (0%)	9 (100.0%)	0 (0%)	0 (0%)	Mar-14, Apr-08	9	B.2.1	24
UK179	0 (0%)	0 (0%)	0 (0%)	9 (100.0%)	Mar-18, Apr-27	9	B.1.10	5
UK25	0 (0%)	1 (11.11%)	1 (11.11%)	7 (77.78%)	Mar-10, Apr-08	9	B.2.2, B.2	24
UK3755	0 (0%)	2 (22.22%)	0 (0%)	7 (77.78%)	Mar-24, Apr-24	9	B.1	8
UK4930	0 (0%)	0 (0%)	0 (0%)	9 (100.0%)	Mar-29, Apr-08	9	B.2.1	24
UK104	0 (0%)	5 (55.56%)	0 (0%)	4 (44.44%)	Mar-21, Apr-13	9	B.1	19
UK5381	0 (0%)	0 (0%)	9 (100.0%)	0 (0%)	Mar-24, Apr-05	9	B.2	27
UK3197	0 (0%)	9 (100.0%)	0 (0%)	0 (0%)	Mar-30, Apr-12	9	B.1	20
UK69	0 (0%)	0 (0%)	0 (0%)	9 (100.0%)	Mar-15, Apr-17	9	B.2.1	15
UK2240	0 (0%)	0 (0%)	0 (0%)	9 (100.0%)	Mar-23, Apr-12	9	B.1	20
UK3888	0 (0%)	0 (0%)	0 (0%)	9 (100.0%)	Mar-30, Apr-13	9	B.1	19
UK3728	0 (0%)	0 (0%)	0 (0%)	9 (100.0%)	Mar-19, Apr-11	9	B.1	21
UK3765	0 (0%)	0 (0%)	0 (0%)	9 (100.0%)	Apr-10, Apr-28	9	B.1	4
UK158	0 (0%)	0 (0%)	0 (0%)	8 (100.0%)	Mar-10, Apr-22	8	B.2.1	10
UK138	0 (0%)	7 (87.5%)	1 (12.5%)	0 (0%)	Mar-20, Apr-05	8	B.2.1	27
UK1632	0 (0%)	0 (0%)	0 (0%)	8 (100.0%)	Mar-01, Mar-08	8	B.4	55
UK3860	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Apr-05, Apr-12	8	B.1	20
UK141	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-25, Apr-13	8	B.1	19
UK351	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-24, Apr-08	8	B.1	24
UK2161	0 (0%)	0 (0%)	0 (0%)	8 (100.0%)	Mar-27, Apr-06	8	B.1.13	26
UK1109	0 (0%)	5 (62.5%)	0 (0%)	3 (37.5%)	Mar-21, Apr-13	8	B.2.1	19
UK46	0 (0%)	0 (0%)	0 (0%)	8 (100.0%)	Mar-18, Apr-16	8	B.1	16
UK3572	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-30, Apr-12	8	B.1	20
UK613	0 (0%)	0 (0%)	0 (0%)	8 (100.0%)	Mar-29, Apr-15	8	B.1.7	17
UK78	0 (0%)	0 (0%)	0 (0%)	8 (100.0%)	Mar-10, Apr-06	8	B.2.1	26
UK1252	0 (0%)	0 (0%)	0 (0%)	8 (100.0%)	Mar-20, Apr-10	8	B	22
UK208	0 (0%)	0 (0%)	0 (0%)	8 (100.0%)	Mar-25, Apr-15	8	B.2.1	17
UK6523	0 (0%)	0 (0%)	0 (0%)	8 (100.0%)	Mar-20, Apr-11	8	B.1	21
UK560	0 (0%)	0 (0%)	0 (0%)	8 (100.0%)	Mar-18, Apr-14	8	B.2	18
UK5735	0 (0%)	7 (87.5%)	0 (0%)	1 (12.5%)	Mar-26, Apr-13	8	B.1	19
UK4009	0 (0%)	0 (0%)	0 (0%)	8 (100.0%)	Mar-31, Apr-26	8	B.1	6
UK5973	0 (0%)	0 (0%)	8 (100.0%)	0 (0%)	Apr-24, Apr-30	8	B.1.5	2
UK13	0 (0%)	2 (25.0%)	1 (12.5%)	5 (62.5%)	Mar-03, Apr-07	8	B.2	25
UK1420	0 (0%)	1 (12.5%)	1 (12.5%)	6 (75.0%)	Mar-23, Apr-16	8	B.1	16
UK1179	0 (0%)	0 (0%)	0 (0%)	8 (100.0%)	Mar-26, Apr-14	8	B.1	18
UK1112	0 (0%)	0 (0%)	0 (0%)	8 (100.0%)	Mar-20, Apr-03	8	B.1.13	29
UK3703	0 (0%)	0 (0%)	0 (0%)	8 (100.0%)	Apr-10, Apr-20	8	B.1	12
UK2070	0 (0%)	0 (0%)	7 (100.0%)	0 (0%)	Apr-15, Apr-27	7	B.1.5	5
UK4643	0 (0%)	0 (0%)	1 (14.29%)	6 (85.71%)	Mar-12, Apr-08	7	B.1	24
UK561	0 (0%)	6 (85.71%)	0 (0%)	1 (14.29%)	Mar-27, Apr-21	7	B.1	11
UK793	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Mar-27, Apr-10	7	B.1	22
UK3022	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Mar-23, Apr-13	7	B.1	19
UK3299	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Mar-21, Apr-17	7	B.1	15
UK552	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Mar-24, Apr-08	7	B.1	24
UK3986	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Mar-30, Apr-08	7	B.1	24
UK32	0 (0%)	0 (0%)	1 (14.29%)	6 (85.71%)	Mar-05, Apr-17	7	B.2.2	15
UK1018	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Mar-25, Apr-10	7	B.1	22
UK3367	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Mar-28, Apr-13	7	B.1.10	19
UK3209	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Mar-31, Apr-14	7	B.1	18
UK3736	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Apr-09, Apr-25	7	B.1	7
UK2160	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Mar-29, Apr-20	7	B.1.13	12
UK200	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Mar-04, Apr-14	7	B.2.1	18
UK99	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Mar-22, Apr-27	7	B.1	5
UK2163	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Apr-06, Apr-17	7	B.1.13	15
UK3810	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Mar-31, Apr-08	7	B.1	24
UK33	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Mar-16, Apr-16	7	B.2.1	16
UK2878	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Mar-30, Apr-10	7	B.1	22
UK978	0 (0%)	5 (71.43%)	0 (0%)	2 (28.57%)	Mar-20, Apr-09	7	B.2.1	23
UK3822	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Apr-02, Apr-16	7	B.1	16
UK19	0 (0%)	5 (71.43%)	0 (0%)	2 (28.57%)	Mar-06, Apr-13	7	B.1	19
UK130	0 (0%)	0 (0%)	1 (14.29%)	6 (85.71%)	Mar-17, Mar-27	7	B.2.1, B.2	36
UK2910	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Apr-02, Apr-27	7	B.1	5
UK23	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Mar-11, Apr-08	7	B.2.2	24
UK4932	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Mar-22, Apr-19	7	B.2.1	13
UK4055	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Apr-04, Apr-27	7	B.1	5
UK649	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Mar-04, Mar-30	7	B.1	33
UK5701	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Mar-31, Apr-23	7	B.1	9
UK3709	0 (0%)	1 (14.29%)	0 (0%)	6 (85.71%)	Apr-07, Apr-22	7	B.1	10
UK3656	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Mar-26, Apr-06	7	B.1	26
UK3678	0 (0%)	4 (57.14%)	0 (0%)	3 (42.86%)	Mar-21, Apr-06	7	B.1	26
UK3716	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Apr-01, Apr-12	7	B.1	20
UK1961	0 (0%)	0 (0%)	6 (100.0%)	0 (0%)	Apr-20, Apr-28	6	B.1.5	4
UK188	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Mar-13, Apr-05	6	B.2	27
UK4624	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Mar-29, Apr-12	6	B.1	20
UK1444	0 (0%)	4 (66.67%)	0 (0%)	2 (33.33%)	Mar-22, Apr-12	6	B.2	20
UK2915	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Mar-26, Apr-06	6	B.1	26
UK1975	0 (0%)	0 (0%)	6 (100.0%)	0 (0%)	Apr-13, Apr-25	6	B.1.5	7
UK5132	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Mar-21, Mar-30	6	B.2.1, B.2	33
UK3844	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Apr-05, Apr-21	6	B.1	11
UK4807	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Mar-31, Apr-15	6	B.1	17
UK951	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Mar-21, Apr-05	6	B.1	27
UK80	0 (0%)	1 (16.67%)	2 (33.33%)	3 (50.0%)	Mar-20, Apr-01	6	B.1	31
UK4137	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Apr-02, Apr-09	6	B.1	23
UK206	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Mar-25, Apr-27	6	B.1	5
UK5039	0 (0%)	0 (0%)	1 (16.67%)	5 (83.33%)	Mar-18, Apr-02	6	B.2.1, B.2	30
UK1075	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Mar-24, Mar-30	6	B.1	33
UK620	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Mar-24, Mar-29	6	B.2.1	34
