Lineage name	England	Date range	Global lineage	Total
UK6	11 (100.0%)	Mar-17, Apr-29	B.1.75, B.1, B.1.5	11 taxa
UK2200	11 (100.0%)	Mar-17, May-21	B.1, B.1.5	11 taxa
UK934	11 (100.0%)	Mar-25, Apr-13	B.1.1	11 taxa
UK1129	11 (100.0%)	Mar-27, Jul-23	B.1.1	11 taxa
UK1202	10 (100.0%)	May-18, Jun-15	B.1.1	10 taxa
UK1855	10 (100.0%)	Jul-04, Jul-26	B.1.1	10 taxa
UK390	9 (100.0%)	Mar-26, May-01	B.1	9 taxa
UK1332	9 (100.0%)	Mar-28, Apr-05	B.1	9 taxa
UK832	9 (100.0%)	Mar-26, Apr-26	A.5	9 taxa
UK387	9 (100.0%)	Mar-18, Apr-15	B.1, B.1.86	9 taxa
UK870	8 (100.0%)	Mar-16, Apr-23	B.1.1	8 taxa
UK40	8 (100.0%)	Mar-27, Apr-20	B.16, B	8 taxa
UK946	8 (100.0%)	Mar-25, Apr-23	B.1	8 taxa
UK601	7 (100.0%)	Mar-25, May-04	B, B.10	7 taxa
UK1300	7 (100.0%)	May-20, Jun-04	B.1.1	7 taxa
UK55	7 (100.0%)	Mar-10, Apr-08	B.3	7 taxa
UK86	7 (100.0%)	Mar-27, Apr-16	B.1	7 taxa
UK2022	7 (100.0%)	Apr-05, Jul-26	B.1.1	7 taxa
UK2464	7 (100.0%)	Mar-20, Jun-10	B.1	7 taxa
UK1700	6 (100.0%)	Apr-01, Apr-14	B.1	6 taxa
UK829	6 (100.0%)	Mar-17, Apr-03	B.2	6 taxa
UK1852	6 (100.0%)	Mar-17, Apr-10	B.1.1.1, B.1.1	6 taxa
UK1266	6 (100.0%)	Apr-01, May-19	B.1.1	6 taxa
UK693	6 (100.0%)	Mar-14, Mar-26	A.2	6 taxa
UK236	6 (100.0%)	Mar-12, Mar-27	B.2, B.2.1	6 taxa
UK1347	6 (100.0%)	May-18, Jun-04	B.1.1	6 taxa
UK491	6 (100.0%)	Mar-17, Mar-28	B.2.4, B.2	6 taxa
UK705	6 (100.0%)	Mar-16, Mar-26	B.1	6 taxa
UK360	6 (100.0%)	Mar-14, Apr-05	B.2, B.2.2	6 taxa
UK619	6 (100.0%)	Mar-02, Apr-28	B.1.1	6 taxa
UK1228	6 (100.0%)	Mar-20, Mar-28	B.1.1	6 taxa
